Iteration: 0 | Loss: 234.375 | Current Suffix:!!!!!!!!!!! 
Iteration: 46 | Loss: 129.5 | Current Suffix: Tokyotan.. It
Iteration: 47 | Loss: 125.4375 | Current Suffix: Tokyotan!! It
Iteration: 48 | Loss: 170.125 | Current Suffix: Tokyotan!! The
Iteration: 49 | Loss: 211.0 | Current Suffix: Tokyotan!!! The
Iteration: 50 | Loss: 149.625 | Current Suffix: Tokyotan!!! There
Iteration: 51 | Loss: 147.875 | Current Suffix: Tokyotan.......... There
Iteration: 52 | Loss: 147.875 | Current Suffix: Tokyotan.......... There
Iteration: 53 | Loss: 166.875 | Current Suffix: Tokyotan anime.. There
Iteration: 54 | Loss: 217.625 | Current Suffix: Tokyotan animelol There
Iteration: 55 | Loss: 206.0 | Current Suffix: Tokyotan rollerelol There
Iteration: 56 | Loss: 157.375 | Current Suffix: Tokyotan rolleollol There
Iteration: 57 | Loss: 141.125 | Current Suffix: Tokyotan rolleollemonium There
Iteration: 58 | Loss: 185.375 | Current Suffix: Tokyotan rolleollemonium Statue
Iteration: 59 | Loss: 216.0 | Current Suffix: Tokyotan rolleollemon Infinity Statue
Iteration: 60 | Loss: 184.0 | Current Suffix: Tokyotan rolleollemon Goku Statue
Iteration: 61 | Loss: 192.875 | Current Suffix:Gunyotan rolleollemon Goku Statue
Iteration: 62 | Loss: 186.125 | Current Suffix:Gunyotan rolleollemon Gokureve
Iteration: 63 | Loss: 216.75 | Current Suffix: Hokyotan rolleollemon Gokureve
Iteration: 64 | Loss: 204.5 | Current Suffix: Hokyotan rolleolle Gol Gokureve
Iteration: 65 | Loss: 209.25 | Current Suffix: Hokyotan rolleolle 1 Gokureve
Iteration: 66 | Loss: 244.75 | Current Suffix: Holoyotan rolleolle 1 Gokureve
Iteration: 67 | Loss: 246.625 | Current Suffix: Holoy Goleman rolleolle 1 Gokureve
Iteration: 68 | Loss: 248.5 | Current Suffix: Holoy Goleman rolleolle 1 Gollureve
Iteration: 69 | Loss: 262.5 | Current Suffix: Lustoy Goleman rolleolle 1 Gollureve
Iteration: 70 | Loss: 237.125 | Current Suffix: glossoy Goleman rolleolle 1 Gollureve
Iteration: 71 | Loss: 197.375 | Current Suffix: glossoy Goleman rolleolle, Gollureve
Iteration: 72 | Loss: 189.875 | Current Suffix: glossoy Goleman rolleolle, Gollure'
Iteration: 73 | Loss: 189.875 | Current Suffix: glossoy Goleman rolleolle, Gollure'
Iteration: 74 | Loss: 187.625 | Current Suffix: glossoy Goleman rolleolle, Gollien'
Iteration: 75 | Loss: 176.25 | Current Suffix: glossoy Goleman rolleolle, Sollien'
Iteration: 76 | Loss: 176.25 | Current Suffix: glossoy Goleman rolleolle, Sollien'
Iteration: 77 | Loss: 174.25 | Current Suffix: glossoy Goleman rolleolle- Sollien'
Iteration: 78 | Loss: 188.375 | Current Suffix: glossoy Goleman rolleolle- Sionien'
Iteration: 79 | Loss: 206.875 | Current Suffix:holossoy Goleman rolleolle- Sionien'
Iteration: 80 | Loss: 232.625 | Current Suffix:allicossoy Goleman rolleolle- Sionien'
Iteration: 81 | Loss: 246.625 | Current Suffix: Kahossoy Goleman rolleolle- Sionien'
Iteration: 82 | Loss: 268.75 | Current Suffix: Obiossoy Goleman rolleolle- Sionien'
Iteration: 83 | Loss: 248.5 | Current Suffix: Obiossoy Goleman rolleolle- Solyien'
Iteration: 84 | Loss: 242.75 | Current Suffix: Obiossoy Goleman rolleolle- Solyuk'
Iteration: 85 | Loss: 196.625 | Current Suffix:Soviossoy Goleman rolleolle- Solyuk'
Iteration: 86 | Loss: 209.25 | Current Suffix:Soviossoy Gorynman rolleolle- Solyuk'
Iteration: 87 | Loss: 217.625 | Current Suffix:Soviossoy Gorynman rolleolle- Solyakh'
Iteration: 88 | Loss: 214.25 | Current Suffix:Soviossoy Gorynuru rolleolle- Solyakh'
Iteration: 89 | Loss: 221.875 | Current Suffix:Soviosereky Gorynuru rolleolle- Solyakh'
Iteration: 90 | Loss: 221.875 | Current Suffix:Soviosereky Gorynuru rolleolle- Sosyakh'
Iteration: 91 | Loss: 209.25 | Current Suffix:Soviosereky Goryn Katz rolleolle- Sosyakh'
Iteration: 92 | Loss: 188.375 | Current Suffix:Soviosereky Goryn Katz rolleolle- Sosybel'
Iteration: 93 | Loss: 181.125 | Current Suffix:Soviosedivky Goryn Katz rolleolle- Sosybel'
Iteration: 94 | Loss: 208.5 | Current Suffix:Soviosedivky Goryn Katz rolleolte- Sosybel'
Iteration: 95 | Loss: 212.625 | Current Suffix:Soviosedraky Goryn Katz rolleolte- Sosybel'
Iteration: 96 | Loss: 189.125 | Current Suffix:Soviosedraky Goryn Katz rolleolle- Sosybel'
Iteration: 97 | Loss: 213.375 | Current Suffix:Soviosedzesky Goryn Katz rolleolle- Sosybel'
Iteration: 98 | Loss: 198.125 | Current Suffix:Sovi Torozesky Goryn Katz rolleolle- Sosybel'
Iteration: 99 | Loss: 185.375 | Current Suffix:Sovi Vikozesky Goryn Katz rolleolle- Sosybel'
Iteration: 100 | Loss: 170.875 | Current Suffix:Sovi Vikozesky Goryn Katz rolleolle- Sosyolk'
Iteration: 101 | Loss: 162.375 | Current Suffix:Sovi Vikozesky Goryn Katz rolleolle, Sosyolk'
Iteration: 102 | Loss: 175.5 | Current Suffix:Sovi Vikozesky Goryn Arnold rolleolle, Sosyolk'
Iteration: 103 | Loss: 171.5 | Current Suffix:Sovi Vikozesky Goryn Arnold Rolleolle, Sosyolk'
Iteration: 104 | Loss: 154.875 | Current Suffix:Sovi Vikozesky Goryn Atomic Rolleolle, Sosyolk'
Iteration: 105 | Loss: 154.375 | Current Suffix:Sovi Vikozesky Goryn Atomic Rolleolle i Sosyolk'
Iteration: 106 | Loss: 161.75 | Current Suffix:Sovi Vikozesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 107 | Loss: 186.125 | Current Suffix:Sovi Vikaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 108 | Loss: 170.875 | Current Suffix:Soviadelaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 109 | Loss: 177.625 | Current Suffix:Sovi Mawaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 110 | Loss: 204.5 | Current Suffix:Sovi Lokiaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 111 | Loss: 223.625 | Current Suffix:Sovi kinokiaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 112 | Loss: 258.5 | Current Suffix:Sovi kin Eliteithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 113 | Loss: 241.875 | Current Suffix:Sovi kin ninjaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 114 | Loss: 212.625 | Current Suffix:Sovimoon ninjaithesky Goryn Machine Rolleolle i Sosyolk'
Iteration: 115 | Loss: 224.5 | Current Suffix:Sovimoon ninjaithesky Goryn 10000 Rolleolle i Sosyolk'
Iteration: 116 | Loss: 241.875 | Current Suffix:Sovimoon ninjaithesky Goryn Meow Rolleolle i Sosyolk'
Iteration: 117 | Loss: 235.375 | Current Suffix:Sovimoon ninjaithesky Gorynallery Rolleolle i Sosyolk'
Iteration: 118 | Loss: 244.75 | Current Suffix:Sovimoon ninjaithesky Goryn Glacier Rolleolle i Sosyolk'
Iteration: 119 | Loss: 238.125 | Current Suffix:Sovimoon ninjaithesky Goryn EMP Rolleolle i Sosyolk'
Iteration: 120 | Loss: 240.0 | Current Suffix:Sovimoon ninjaithesky Goryn EMP Rolleolle i Sosyol'
Iteration: 121 | Loss: 220.25 | Current Suffix:Sovimoon ninjaithesky Gorynagara Rolleolle i Sosyol'
Iteration: 122 | Loss: 222.75 | Current Suffix:Sovimoon ninjaithesky Goryn Slug Rolleolle i Sosyol'
Iteration: 123 | Loss: 232.625 | Current Suffix:Sovimoon ninjaithesky Gory and Slug Rolleolle i Sosyol'
Iteration: 124 | Loss: 235.375 | Current Suffix:Sovimoon ninjaithesky Gory and Shadow Rolleolle i Sosyol'
Iteration: 125 | Loss: 235.375 | Current Suffix:Sovimoon ninjaithesky Gory and Shadow Rolleolle i Sosyol'
Iteration: 126 | Loss: 247.625 | Current Suffix:Sovimoon ninjaithesky Gory and Recession Rolleolle i Sosyol'
Iteration: 127 | Loss: 218.5 | Current Suffix:Sovimoon ninjaithesky Gory and Dark Rolleolle i Sosyol'
Iteration: 128 | Loss: 216.0 | Current Suffix:Sovimoon Ninjajaithesky Gory and Dark Rolleolle i Sosyol'
Iteration: 129 | Loss: 241.875 | Current Suffix:Sovimoon Ninjajaithesky Gory and Titanium Rolleolle i Sosyol'
Iteration: 0 | Loss: 124.0 | Current Suffix:!!!!!!
Iteration: 1 | Loss: 186.875 | Current Suffix:!!!!..
Iteration: 2 | Loss: 172.125 | Current Suffix:inia..
Iteration: 3 | Loss: 168.875 | Current Suffix:inki..
Iteration: 4 | Loss: 108.1875 | Current Suffix:inkicircle
Iteration: 5 | Loss: 109.0 | Current Suffix:ichoicircle
Iteration: 6 | Loss: 102.8125 | Current Suffix:jcicircle
Iteration: 7 | Loss: 112.4375 | Current Suffix: Wooicircle
Iteration: 8 | Loss: 103.625 | Current Suffix:onseicircle
Iteration: 9 | Loss: 104.4375 | Current Suffix: Seedicircle
Iteration: 10 | Loss: 136.25 | Current Suffix:annisicircle
Iteration: 11 | Loss: 80.375 | Current Suffix:jeicircle
Iteration: 12 | Loss: 83.875 | Current Suffix:divicircle
Iteration: 13 | Loss: 92.875 | Current Suffix:ostonicircle
Iteration: 14 | Loss: 104.4375 | Current Suffix:RHicircle
Iteration: 15 | Loss: 95.8125 | Current Suffix:oulticircle
Iteration: 16 | Loss: 88.625 | Current Suffix:apanicircle
Iteration: 17 | Loss: 82.3125 | Current Suffix: Bulgicircle
Iteration: 18 | Loss: 82.9375 | Current Suffix:chnicircle
Iteration: 19 | Loss: 98.125 | Current Suffix:chnicircum
Iteration: 20 | Loss: 126.4375 | Current Suffix:euroicircum
Iteration: 21 | Loss: 104.8125 | Current Suffix:euroicircuit
Iteration: 22 | Loss: 143.25 | Current Suffix:Rusticircuit
Iteration: 23 | Loss: 114.6875 | Current Suffix: Slimicircuit
Iteration: 24 | Loss: 153.125 | Current Suffix:edoicircuit
Iteration: 25 | Loss: 164.875 | Current Suffix: Wooicircuit
Iteration: 26 | Loss: 154.875 | Current Suffix:gebraicircuit
Iteration: 27 | Loss: 150.75 | Current Suffix:alphicircuit
Iteration: 28 | Loss: 147.25 | Current Suffix:eqicircuit
Iteration: 29 | Loss: 152.5 | Current Suffix: Seraphicircuit
Iteration: 30 | Loss: 135.625 | Current Suffix: Syndicircuit
Iteration: 31 | Loss: 141.625 | Current Suffix: targicircuit
Iteration: 32 | Loss: 123.5 | Current Suffix:ognicircuit
Iteration: 33 | Loss: 107.3125 | Current Suffix: Dianicircuit
Iteration: 34 | Loss: 134.125 | Current Suffix: Niicircuit
Iteration: 35 | Loss: 150.75 | Current Suffix:alphicircuit
Iteration: 36 | Loss: 147.25 | Current Suffix:eqicircuit
Iteration: 37 | Loss: 152.5 | Current Suffix: Seraphicircuit
Iteration: 0 | Loss: -0.01953125 | Current Suffix:!! Safari!
Iteration: 1 | Loss: -0.03125 | Current Suffix:!! Safari incorpor
Iteration: 2 | Loss: -0.046875 | Current Suffix:!! Safari vou
Iteration: 3 | Loss: -0.0703125 | Current Suffix:UGH Safari vou
Iteration: 4 | Loss: -0.046875 | Current Suffix:UGH Safari jer
Iteration: 5 | Loss: -0.046875 | Current Suffix: fuckin Safari jer
Iteration: 6 | Loss: -0.05078125 | Current Suffix: kne Safari jer
Iteration: 7 | Loss: -0.046875 | Current Suffix: fuckin Safari jer
Iteration: 8 | Loss: -0.04296875 | Current Suffix: fuckin Safari sched
Iteration: 9 | Loss: -0.0390625 | Current Suffix: pione Safari sched
Iteration: 10 | Loss: -0.04296875 | Current Suffix: casino Safari sched
Iteration: 11 | Loss: -0.06640625 | Current Suffix: motel Safari sched
Iteration: 12 | Loss: -0.04296875 | Current Suffix: town Safari sched
Iteration: 13 | Loss: -0.0546875 | Current Suffix: Isle Safari sched
Iteration: 14 | Loss: -0.05859375 | Current Suffix:ansas Safari sched
Iteration: 15 | Loss: -0.046875 | Current Suffix:buquerque Safari sched
Iteration: 16 | Loss: -0.05859375 | Current Suffix:ansas Safari sched
Iteration: 17 | Loss: -0.05078125 | Current Suffix: Embassy Safari sched
Iteration: 18 | Loss: -0.05078125 | Current Suffix: malls Safari sched
Iteration: 19 | Loss: -0.05859375 | Current Suffix: Pavilion Safari sched
Iteration: 20 | Loss: -0.05078125 | Current Suffix: Presidency Safari sched
Iteration: 21 | Loss: -0.05078125 | Current Suffix: malls Safari sched
Iteration: 22 | Loss: -0.05859375 | Current Suffix: Pavilion Safari sched
Iteration: 23 | Loss: -0.05078125 | Current Suffix: Presidency Safari sched
Iteration: 24 | Loss: -0.05078125 | Current Suffix: malls Safari sched
Iteration: 25 | Loss: -0.046875 | Current Suffix:buquerque Safari sched
Iteration: 26 | Loss: -0.05859375 | Current Suffix:ansas Safari sched
Iteration: 27 | Loss: -0.05078125 | Current Suffix: Embassy Safari sched
Iteration: 28 | Loss: -0.05859375 | Current Suffix: Embassy Guinness sched
Iteration: 29 | Loss: -0.0546875 | Current Suffix: Airport Guinness sched
Iteration: 30 | Loss: -0.046875 | Current Suffix: Bangkok Guinness sched
Iteration: 31 | Loss: -0.03515625 | Current Suffix: Mosque Guinness sched
Iteration: 32 | Loss: -0.04296875 | Current Suffix: prope Guinness sched
Iteration: 33 | Loss: -0.044921875 | Current Suffix: prope Guinness pier
Iteration: 34 | Loss: -0.0546875 | Current Suffix: manufact Guinness pier
Iteration: 35 | Loss: -0.05078125 | Current Suffix: Desc Guinness pier
Iteration: 36 | Loss: -0.0390625 | Current Suffix: Num Guinness pier
Iteration: 37 | Loss: -0.046875 | Current Suffix:Category Guinness pier
Iteration: 38 | Loss: -0.04296875 | Current Suffix:Category Guinness tattoos
Iteration: 39 | Loss: -0.046875 | Current Suffix:Category Guinness hairc
Iteration: 40 | Loss: -0.05078125 | Current Suffix:Category Guinness unsus
Iteration: 41 | Loss: -0.06640625 | Current Suffix:Category Guinness captcha
Iteration: 42 | Loss: -0.09375 | Current Suffix:Category catalog captcha
Iteration: 43 | Loss: -0.1171875 | Current Suffix:reenshots catalog captcha
Iteration: 44 | Loss: -0.11328125 | Current Suffix:reenshots Bust captcha
Iteration: 45 | Loss: -0.16796875 | Current Suffix:================================ Bust captcha
Iteration: 46 | Loss: -0.15625 | Current Suffix:594 Bust captcha
Iteration: 47 | Loss: -0.09375 | Current Suffix: Mosque Bust captcha
Iteration: 48 | Loss: -0.140625 | Current Suffix: rpm Bust captcha
Iteration: 49 | Loss: -0.1171875 | Current Suffix: unlaw Bust captcha
Iteration: 50 | Loss: -0.1015625 | Current Suffix:kefeller Bust captcha
Iteration: 51 | Loss: -0.14453125 | Current Suffix: aperture Bust captcha
Iteration: 52 | Loss: -0.1015625 | Current Suffix:kefeller Bust captcha
Iteration: 53 | Loss: -0.13671875 | Current Suffix: seq Bust captcha
Iteration: 54 | Loss: -0.1171875 | Current Suffix://////// Bust captcha
Iteration: 55 | Loss: -0.09765625 | Current Suffix: fundament Bust captcha
Iteration: 56 | Loss: -0.125 | Current Suffix:=- Bust captcha
Iteration: 57 | Loss: -0.078125 | Current Suffix:native Bust captcha
Iteration: 58 | Loss: -0.1015625 | Current Suffix: SECTION Bust captcha
Iteration: 59 | Loss: -0.109375 | Current Suffix: cpu Bust captcha
Iteration: 60 | Loss: -0.1953125 | Current Suffix:====== Bust captcha
Iteration: 61 | Loss: -0.10546875 | Current Suffix: fungi Bust captcha
Iteration: 62 | Loss: -0.12109375 | Current Suffix:++++++++ Bust captcha
Iteration: 63 | Loss: -0.140625 | Current Suffix:================================================================ Bust captcha
Iteration: 64 | Loss: -0.10546875 | Current Suffix:pell Bust captcha
Iteration: 65 | Loss: -0.1171875 | Current Suffix: penetration Bust captcha
Iteration: 66 | Loss: -0.1171875 | Current Suffix: recognised Bust captcha
Iteration: 67 | Loss: -0.1171875 | Current Suffix: spread Bust captcha
Iteration: 68 | Loss: -0.125 | Current Suffix: struck Bust captcha
Iteration: 69 | Loss: -0.1328125 | Current Suffix: clamp Bust captcha
Iteration: 70 | Loss: -0.10546875 | Current Suffix: compass Bust captcha
Iteration: 71 | Loss: -0.1015625 | Current Suffix:705 Bust captcha
Iteration: 72 | Loss: -0.20703125 | Current Suffix: adv Bust captcha
Iteration: 73 | Loss: -0.1015625 | Current Suffix:kefeller Bust captcha
Iteration: 74 | Loss: -0.14453125 | Current Suffix: aperture Bust captcha
Iteration: 75 | Loss: -0.09375 | Current Suffix: LIC Bust captcha
Iteration: 76 | Loss: -0.1171875 | Current Suffix: architecture Bust captcha
Iteration: 77 | Loss: -0.1640625 | Current Suffix: antiquity Bust captcha
Iteration: 78 | Loss: -0.13671875 | Current Suffix: +++ Bust captcha
Iteration: 79 | Loss: -0.1484375 | Current Suffix:\"> Bust captcha
Iteration: 80 | Loss: -0.1015625 | Current Suffix: dir Bust captcha
Iteration: 81 | Loss: -0.12890625 | Current Suffix:css Bust captcha
Iteration: 82 | Loss: -0.1953125 | Current Suffix:====== Bust captcha
Iteration: 83 | Loss: -0.10546875 | Current Suffix: fungi Bust captcha
Iteration: 84 | Loss: -0.1328125 | Current Suffix:=-=- Bust captcha
Iteration: 85 | Loss: -0.10546875 | Current Suffix: fungi Bust captcha
Iteration: 86 | Loss: -0.1328125 | Current Suffix:=-=- Bust captcha
Iteration: 87 | Loss: -0.10546875 | Current Suffix:texture Bust captcha
Iteration: 88 | Loss: -0.1953125 | Current Suffix:====== Bust captcha
Iteration: 89 | Loss: -0.10546875 | Current Suffix: Edited Bust captcha
Iteration: 90 | Loss: -0.125 | Current Suffix: defin Bust captcha
Iteration: 91 | Loss: -0.1953125 | Current Suffix:====== Bust captcha
Iteration: 92 | Loss: -0.10546875 | Current Suffix: fungi Bust captcha
Iteration: 93 | Loss: -0.12109375 | Current Suffix:++++++++ Bust captcha
Iteration: 94 | Loss: -0.1328125 | Current Suffix: clamp Bust captcha
Iteration: 95 | Loss: -0.12890625 | Current Suffix:ingen Bust captcha
Iteration: 96 | Loss: -0.12890625 | Current Suffix:134 Bust captcha
Iteration: 97 | Loss: -0.10546875 | Current Suffix:detail Bust captcha
Iteration: 98 | Loss: -0.140625 | Current Suffix:/? Bust captcha
Iteration: 99 | Loss: -0.11328125 | Current Suffix:/? community captcha
Iteration: 100 | Loss: -0.10546875 | Current Suffix:/?itle captcha
Iteration: 101 | Loss: -0.0703125 | Current Suffix: Fogitle captcha
Iteration: 102 | Loss: -0.08203125 | Current Suffix: Indexitle captcha
Iteration: 103 | Loss: -0.0859375 | Current Suffix:icularlyitle captcha
Iteration: 104 | Loss: -0.1640625 | Current Suffix: Springeritle captcha
Iteration: 105 | Loss: -0.140625 | Current Suffix: Springer footnote captcha
Iteration: 106 | Loss: -0.13671875 | Current Suffix:Net footnote captcha
Iteration: 107 | Loss: -0.1171875 | Current Suffix:ingu footnote captcha
Iteration: 108 | Loss: -0.125 | Current Suffix: ICC footnote captcha
Iteration: 109 | Loss: -0.1484375 | Current Suffix:ect footnote captcha
Iteration: 110 | Loss: -0.125 | Current Suffix: ICC footnote captcha
Iteration: 111 | Loss: -0.1484375 | Current Suffix:ect footnote captcha
Iteration: 112 | Loss: -0.12890625 | Current Suffix: Axis footnote captcha
Iteration: 113 | Loss: -0.12890625 | Current Suffix: Orient footnote captcha
Iteration: 114 | Loss: -0.140625 | Current Suffix: Zoom footnote captcha
Iteration: 115 | Loss: -0.1796875 | Current Suffix: VA footnote captcha
Iteration: 116 | Loss: -0.15234375 | Current Suffix: Fac footnote captcha
Iteration: 117 | Loss: -0.12890625 | Current Suffix: Lawson footnote captcha
Iteration: 118 | Loss: -0.15234375 | Current Suffix: CRC footnote captcha
Iteration: 119 | Loss: -0.171875 | Current Suffix: Bulgar footnote captcha
Iteration: 120 | Loss: -0.14453125 | Current Suffix: Hess footnote captcha
Iteration: 121 | Loss: -0.1484375 | Current Suffix: Scand footnote captcha
Iteration: 122 | Loss: -0.14453125 | Current Suffix: Georg footnote captcha
Iteration: 123 | Loss: -0.12890625 | Current Suffix: Axis footnote captcha
Iteration: 124 | Loss: -0.12890625 | Current Suffix: Orient footnote captcha
Iteration: 125 | Loss: -0.13671875 | Current Suffix: elevator footnote captcha
Iteration: 126 | Loss: -0.12890625 | Current Suffix:anguage footnote captcha
Iteration: 127 | Loss: -0.16796875 | Current Suffix: Bout footnote captcha
Iteration: 128 | Loss: -0.13671875 | Current Suffix:Jet footnote captcha
Iteration: 129 | Loss: -0.1328125 | Current Suffix: Sof footnote captcha
Iteration: 130 | Loss: -0.15625 | Current Suffix: printer footnote captcha
Iteration: 131 | Loss: -0.1171875 | Current Suffix: Lans footnote captcha
Iteration: 132 | Loss: -0.12890625 | Current Suffix: Font footnote captcha
Iteration: 133 | Loss: -0.15234375 | Current Suffix: CRC footnote captcha
Iteration: 134 | Loss: -0.171875 | Current Suffix: Bulgaria footnote captcha
Iteration: 135 | Loss: -0.15625 | Current Suffix: Sever footnote captcha
Iteration: 136 | Loss: -0.1328125 | Current Suffix: icons footnote captcha
Iteration: 137 | Loss: -0.109375 | Current Suffix: partName footnote captcha
Iteration: 138 | Loss: -0.15625 | Current Suffix:UV footnote captcha
Iteration: 139 | Loss: -0.1484375 | Current Suffix: JUL footnote captcha
Iteration: 140 | Loss: -0.15625 | Current Suffix: Clo footnote captcha
Iteration: 141 | Loss: -0.12890625 | Current Suffix: Lawson footnote captcha
Iteration: 142 | Loss: -0.109375 | Current Suffix: ker footnote captcha
Iteration: 143 | Loss: -0.15625 | Current Suffix: Fors footnote captcha
Iteration: 144 | Loss: -0.12890625 | Current Suffix: Pattern footnote captcha
Iteration: 145 | Loss: -0.171875 | Current Suffix: Cla footnote captcha
Iteration: 146 | Loss: -0.13671875 | Current Suffix: Slov footnote captcha
Iteration: 147 | Loss: -0.1484375 | Current Suffix: Fernand footnote captcha
Iteration: 148 | Loss: -0.12890625 | Current Suffix: Pattern footnote captcha
Iteration: 149 | Loss: -0.12890625 | Current Suffix:anguage footnote captcha
Iteration: 150 | Loss: -0.16796875 | Current Suffix: Bout footnote captcha
Iteration: 151 | Loss: -0.13671875 | Current Suffix:Jet footnote captcha
Iteration: 152 | Loss: -0.16015625 | Current Suffix:Financial footnote captcha
Iteration: 153 | Loss: -0.15234375 | Current Suffix:asso footnote captcha
Iteration: 154 | Loss: -0.12890625 | Current Suffix: Painter footnote captcha
Iteration: 155 | Loss: -0.125 | Current Suffix: artwork footnote captcha
Iteration: 156 | Loss: -0.140625 | Current Suffix:LV footnote captcha
Iteration: 157 | Loss: -0.1484375 | Current Suffix:Tab footnote captcha
Iteration: 158 | Loss: -0.15625 | Current Suffix: Graves footnote captcha
Iteration: 159 | Loss: -0.15234375 | Current Suffix: Fac footnote captcha
Iteration: 160 | Loss: -0.125 | Current Suffix: JPM footnote captcha
Iteration: 161 | Loss: -0.12890625 | Current Suffix: Pattern footnote captcha
Iteration: 162 | Loss: -0.16796875 | Current Suffix: Macedonia footnote captcha
Iteration: 163 | Loss: -0.21484375 | Current Suffix: Dillon footnote captcha
Iteration: 164 | Loss: -0.16796875 | Current Suffix:raf footnote captcha
Iteration: 165 | Loss: -0.15234375 | Current Suffix: Spears footnote captcha
Iteration: 166 | Loss: -0.16796875 | Current Suffix: spear footnote captcha
Iteration: 167 | Loss: -0.17578125 | Current Suffix: Publication footnote captcha
Iteration: 168 | Loss: -0.14453125 | Current Suffix: Chains footnote captcha
Iteration: 169 | Loss: -0.17578125 | Current Suffix: Publication footnote captcha
Iteration: 170 | Loss: -0.12109375 | Current Suffix: unification footnote captcha
Iteration: 171 | Loss: -0.1640625 | Current Suffix: Collections footnote captcha
Iteration: 172 | Loss: -0.1328125 | Current Suffix: Sof footnote captcha
Iteration: 173 | Loss: -0.15625 | Current Suffix: printer footnote captcha
Iteration: 174 | Loss: -0.12109375 | Current Suffix:eneg footnote captcha
Iteration: 175 | Loss: -0.15234375 | Current Suffix: Fac footnote captcha
Iteration: 176 | Loss: -0.125 | Current Suffix: Fac US captcha
Iteration: 177 | Loss: -0.09375 | Current Suffix:bernatorial US captcha
Iteration: 178 | Loss: -0.109375 | Current Suffix:pri US captcha
Iteration: 179 | Loss: -0.07421875 | Current Suffix: knot US captcha
