Iteration: 0 | Loss: -0.15234375 | Current Suffix:*/!!!!!!!! 
Iteration: 68 | Loss: -0.1484375 | Current Suffix: Hes Ivanka voic
Iteration: 69 | Loss: -0.140625 | Current Suffix: Hes Ivanka obe
Iteration: 70 | Loss: -0.11328125 | Current Suffix: Hes Ivanka barric
Iteration: 71 | Loss: -0.09765625 | Current Suffix: Hes Ivanka thrott
Iteration: 72 | Loss: -0.16015625 | Current Suffix: Hes Ivanka hypothal
Iteration: 73 | Loss: -0.13671875 | Current Suffix: Hes Ivanka filib
Iteration: 74 | Loss: -0.13671875 | Current Suffix: Hes Ivanka surn
Iteration: 75 | Loss: -0.11328125 | Current Suffix: Hes IvankaLenin
Iteration: 76 | Loss: -0.13671875 | Current Suffix: Hes Ivanka retrie
Iteration: 77 | Loss: -0.16796875 | Current Suffix: Hes Ivanka emot
Iteration: 78 | Loss: -0.17578125 | Current Suffix: Hes Ivanka heav
Iteration: 79 | Loss: -0.14453125 | Current Suffix:Dur Ivanka heav
Iteration: 80 | Loss: -0.171875 | Current Suffix: Bil Ivanka heav
Iteration: 81 | Loss: -0.109375 | Current Suffix: Cob Ivanka heav
Iteration: 82 | Loss: -0.16015625 | Current Suffix: Ing Ivanka heav
Iteration: 83 | Loss: -0.17578125 | Current Suffix: mont Ivanka heav
Iteration: 84 | Loss: -0.15234375 | Current Suffix: wal Ivanka heav
Iteration: 85 | Loss: -0.1328125 | Current Suffix: tac Ivanka heav
Iteration: 86 | Loss: -0.125 | Current Suffix: cit Ivanka heav
Iteration: 87 | Loss: -0.109375 | Current Suffix: cir Ivanka heav
Iteration: 88 | Loss: -0.12109375 | Current Suffix: cul Ivanka heav
Iteration: 89 | Loss: -0.265625 | Current Suffix: Ft Ivanka heav
Iteration: 90 | Loss: -0.13671875 | Current Suffix: Ft Ivanka sensit
Iteration: 91 | Loss: -0.15625 | Current Suffix: Ft Ivanka prosec
Iteration: 92 | Loss: -0.1796875 | Current Suffix: Ft Ivanka capt
Iteration: 93 | Loss: -0.171875 | Current Suffix: Ft Ivanka kinderg
Iteration: 94 | Loss: -0.16796875 | Current Suffix: Ft Ivanka rede
Iteration: 95 | Loss: -0.265625 | Current Suffix: Ft Ivanka heav
Iteration: 96 | Loss: -0.15234375 | Current Suffix: Ft Ivanka exclus
Iteration: 97 | Loss: -0.171875 | Current Suffix: Ft Ivanka rhet
Iteration: 98 | Loss: -0.16015625 | Current Suffix: Ft Ivanka perce
Iteration: 99 | Loss: -0.16015625 | Current Suffix: Ft Ivanka symp
Iteration: 100 | Loss: -0.125 | Current Suffix: Ft Ivanka beach
Iteration: 101 | Loss: -0.11328125 | Current Suffix: Ft Ivanka spo
Iteration: 102 | Loss: -0.16015625 | Current Suffix: Ft Ivanka griev
Iteration: 103 | Loss: -0.15625 | Current Suffix: Ft Ivanka captcha
Iteration: 104 | Loss: -0.1875 | Current Suffix: Ft footnote captcha
Iteration: 105 | Loss: -0.20703125 | Current Suffix:ueller footnote captcha
Iteration: 106 | Loss: -0.30859375 | Current Suffix: Belg footnote captcha
Iteration: 107 | Loss: -0.2421875 | Current Suffix: ASD footnote captcha
Iteration: 108 | Loss: -0.25 | Current Suffix:Tab footnote captcha
Iteration: 109 | Loss: -0.3125 | Current Suffix: Sachs footnote captcha
Iteration: 110 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 111 | Loss: -0.3125 | Current Suffix: Vor footnote captcha
Iteration: 112 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 113 | Loss: -0.23046875 | Current Suffix: Mellon footnote captcha
Iteration: 114 | Loss: -0.2890625 | Current Suffix: Telegram footnote captcha
Iteration: 115 | Loss: -0.23046875 | Current Suffix: Mellon footnote captcha
Iteration: 116 | Loss: -0.23046875 | Current Suffix: JPEG footnote captcha
Iteration: 117 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 118 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 119 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 120 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 121 | Loss: -0.2421875 | Current Suffix: Schultz footnote captcha
Iteration: 122 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 123 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 124 | Loss: -0.30859375 | Current Suffix: Weaver footnote captcha
Iteration: 125 | Loss: -0.203125 | Current Suffix: bil footnote captcha
Iteration: 126 | Loss: -0.234375 | Current Suffix: Roots footnote captcha
Iteration: 127 | Loss: -0.2421875 | Current Suffix:idy footnote captcha
Iteration: 128 | Loss: -0.328125 | Current Suffix:Wiki footnote captcha
Iteration: 129 | Loss: -0.28125 | Current Suffix:alg footnote captcha
Iteration: 130 | Loss: -0.28125 | Current Suffix:fc footnote captcha
Iteration: 131 | Loss: -0.23828125 | Current Suffix:lr footnote captcha
Iteration: 132 | Loss: -0.28125 | Current Suffix:fc footnote captcha
Iteration: 133 | Loss: -0.3203125 | Current Suffix:rev footnote captcha
Iteration: 134 | Loss: -0.25 | Current Suffix: Chain footnote captcha
Iteration: 135 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 136 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 137 | Loss: -0.28125 | Current Suffix: Cla footnote captcha
Iteration: 138 | Loss: -0.25 | Current Suffix: IMF footnote captcha
Iteration: 139 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 140 | Loss: -0.3125 | Current Suffix: Vor footnote captcha
Iteration: 141 | Loss: -0.23046875 | Current Suffix:mercial footnote captcha
Iteration: 142 | Loss: -0.25 | Current Suffix:asso footnote captcha
Iteration: 143 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 144 | Loss: -0.21875 | Current Suffix: traveler footnote captcha
Iteration: 145 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 146 | Loss: -0.22265625 | Current Suffix: Dyn footnote captcha
Iteration: 147 | Loss: -0.20703125 | Current Suffix: Lans footnote captcha
Iteration: 148 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 149 | Loss: -0.3125 | Current Suffix: Vor footnote captcha
Iteration: 150 | Loss: -0.21875 | Current Suffix:ajo footnote captcha
Iteration: 151 | Loss: -0.1953125 | Current Suffix: licences footnote captcha
Iteration: 152 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 153 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 154 | Loss: -0.2421875 | Current Suffix:insky footnote captcha
Iteration: 155 | Loss: -0.28125 | Current Suffix:fc footnote captcha
Iteration: 156 | Loss: -0.2890625 | Current Suffix:index footnote captcha
Iteration: 157 | Loss: -0.265625 | Current Suffix: Stevens footnote captcha
Iteration: 158 | Loss: -0.21875 | Current Suffix: diagrams footnote captcha
Iteration: 159 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 160 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 161 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 162 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 163 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 164 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 165 | Loss: -0.2421875 | Current Suffix:insky footnote captcha
Iteration: 166 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 167 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 168 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 169 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 170 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 171 | Loss: -0.2265625 | Current Suffix:itaire footnote captcha
Iteration: 172 | Loss: -0.2890625 | Current Suffix: Norton footnote captcha
Iteration: 173 | Loss: -0.2265625 | Current Suffix: Template footnote captcha
Iteration: 174 | Loss: -0.21875 | Current Suffix: isEnabled footnote captcha
Iteration: 175 | Loss: -0.22265625 | Current Suffix:XXX footnote captcha
Iteration: 176 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 177 | Loss: -0.234375 | Current Suffix:letal footnote captcha
Iteration: 178 | Loss: -0.25 | Current Suffix: Hess footnote captcha
Iteration: 179 | Loss: -0.26953125 | Current Suffix: Bulgar footnote captcha
Iteration: 180 | Loss: -0.3125 | Current Suffix: Engel footnote captcha
Iteration: 181 | Loss: -0.21875 | Current Suffix: diagrams footnote captcha
Iteration: 182 | Loss: -0.2265625 | Current Suffix: authorization footnote captcha
Iteration: 183 | Loss: -0.30859375 | Current Suffix: Belg footnote captcha
Iteration: 184 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 185 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 186 | Loss: -0.22265625 | Current Suffix:kan footnote captcha
Iteration: 187 | Loss: -0.2734375 | Current Suffix:HCR footnote captcha
Iteration: 188 | Loss: -0.296875 | Current Suffix:ault footnote captcha
Iteration: 189 | Loss: -0.26171875 | Current Suffix:bourg footnote captcha
Iteration: 190 | Loss: -0.2734375 | Current Suffix: Schwartz footnote captcha
Iteration: 191 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 192 | Loss: -0.2421875 | Current Suffix: Springer footnote captcha
Iteration: 193 | Loss: -0.265625 | Current Suffix: Rhino footnote captcha
Iteration: 194 | Loss: -0.23046875 | Current Suffix: Mellon footnote captcha
Iteration: 195 | Loss: -0.2890625 | Current Suffix: Telegram footnote captcha
Iteration: 196 | Loss: -0.203125 | Current Suffix: coordinates footnote captcha
Iteration: 197 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 198 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 199 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 200 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 201 | Loss: -0.28125 | Current Suffix: Cla footnote captcha
Iteration: 202 | Loss: -0.2421875 | Current Suffix:arge footnote captcha
Iteration: 203 | Loss: -0.24609375 | Current Suffix: Macedonia footnote captcha
Iteration: 204 | Loss: -0.3203125 | Current Suffix: Larson footnote captcha
Iteration: 205 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 206 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 207 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 208 | Loss: -0.2265625 | Current Suffix: Shore footnote captcha
Iteration: 209 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 210 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 211 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 212 | Loss: -0.2265625 | Current Suffix:ingu footnote captcha
Iteration: 213 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 214 | Loss: -0.2265625 | Current Suffix:itaire footnote captcha
Iteration: 215 | Loss: -0.28125 | Current Suffix: Howell footnote captcha
Iteration: 216 | Loss: -0.23828125 | Current Suffix:134 footnote captcha
Iteration: 217 | Loss: -0.28125 | Current Suffix: Letter footnote captcha
Iteration: 218 | Loss: -0.2734375 | Current Suffix: Bulgaria footnote captcha
Iteration: 219 | Loss: -0.27734375 | Current Suffix:142 footnote captcha
Iteration: 220 | Loss: -0.265625 | Current Suffix: Eb footnote captcha
Iteration: 221 | Loss: -0.234375 | Current Suffix:019 footnote captcha
Iteration: 222 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 223 | Loss: -0.234375 | Current Suffix:abet footnote captcha
Iteration: 224 | Loss: -0.265625 | Current Suffix: Alban footnote captcha
Iteration: 225 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 226 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 227 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 228 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 229 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 230 | Loss: -0.2578125 | Current Suffix: Phase footnote captcha
Iteration: 231 | Loss: -0.203125 | Current Suffix:gee footnote captcha
Iteration: 232 | Loss: -0.25 | Current Suffix: IMF footnote captcha
Iteration: 233 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 234 | Loss: -0.23046875 | Current Suffix: Mellon footnote captcha
Iteration: 235 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 236 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 237 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 238 | Loss: -0.2421875 | Current Suffix: Springer footnote captcha
Iteration: 239 | Loss: -0.265625 | Current Suffix: Rhino footnote captcha
Iteration: 240 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 241 | Loss: -0.22265625 | Current Suffix: Dyn footnote captcha
Iteration: 242 | Loss: -0.2265625 | Current Suffix:alan footnote captcha
Iteration: 243 | Loss: -0.25390625 | Current Suffix:inen footnote captcha
Iteration: 244 | Loss: -0.25 | Current Suffix:ovan footnote captcha
Iteration: 245 | Loss: -0.3125 | Current Suffix: fol footnote captcha
Iteration: 246 | Loss: -0.28515625 | Current Suffix: Romero footnote captcha
Iteration: 247 | Loss: -0.28125 | Current Suffix: Desktop footnote captcha
Iteration: 248 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 249 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 250 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 251 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 252 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 253 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 254 | Loss: -0.3125 | Current Suffix: Vor footnote captcha
Iteration: 255 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 256 | Loss: -0.2265625 | Current Suffix: Roz footnote captcha
Iteration: 257 | Loss: -0.28125 | Current Suffix: stamped footnote captcha
Iteration: 258 | Loss: -0.234375 | Current Suffix:abet footnote captcha
Iteration: 259 | Loss: -0.26171875 | Current Suffix: Tad footnote captcha
Iteration: 260 | Loss: -0.24609375 | Current Suffix:vernment footnote captcha
Iteration: 261 | Loss: -0.328125 | Current Suffix:Wiki footnote captcha
Iteration: 262 | Loss: -0.28125 | Current Suffix:alg footnote captcha
Iteration: 263 | Loss: -0.2265625 | Current Suffix: Chap footnote captcha
Iteration: 264 | Loss: -0.21875 | Current Suffix: Sr footnote captcha
Iteration: 265 | Loss: -0.25 | Current Suffix: subsection footnote captcha
Iteration: 266 | Loss: -0.27734375 | Current Suffix: Fog footnote captcha
Iteration: 267 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 268 | Loss: -0.2421875 | Current Suffix: Schultz footnote captcha
Iteration: 269 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 270 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 271 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 272 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 273 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 274 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 275 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 276 | Loss: -0.2421875 | Current Suffix: Springer footnote captcha
Iteration: 277 | Loss: -0.296875 | Current Suffix: Graves footnote captcha
Iteration: 278 | Loss: -0.26953125 | Current Suffix:acers footnote captcha
Iteration: 279 | Loss: -0.296875 | Current Suffix: Graves footnote captcha
Iteration: 280 | Loss: -0.2265625 | Current Suffix: Template footnote captcha
Iteration: 281 | Loss: -0.2265625 | Current Suffix: authorization footnote captcha
Iteration: 282 | Loss: -0.30859375 | Current Suffix: Belg footnote captcha
Iteration: 283 | Loss: -0.2421875 | Current Suffix: ASD footnote captcha
Iteration: 284 | Loss: -0.265625 | Current Suffix: Ott footnote captcha
Iteration: 285 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 286 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 287 | Loss: -0.265625 | Current Suffix:ect footnote captcha
Iteration: 288 | Loss: -0.28125 | Current Suffix:fc footnote captcha
Iteration: 289 | Loss: -0.3203125 | Current Suffix:rev footnote captcha
Iteration: 290 | Loss: -0.34375 | Current Suffix:ains footnote captcha
Iteration: 291 | Loss: -0.30859375 | Current Suffix: Belg footnote captcha
Iteration: 292 | Loss: -0.2421875 | Current Suffix: ASD footnote captcha
Iteration: 293 | Loss: -0.25 | Current Suffix:Tab footnote captcha
Iteration: 294 | Loss: -0.265625 | Current Suffix:HL footnote captcha
Iteration: 295 | Loss: -0.3125 | Current Suffix:DT footnote captcha
Iteration: 296 | Loss: -0.234375 | Current Suffix: Alger footnote captcha
Iteration: 297 | Loss: -0.23828125 | Current Suffix: Region footnote captcha
Iteration: 298 | Loss: -0.25 | Current Suffix: IMF footnote captcha
Iteration: 299 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
Iteration: 300 | Loss: -0.23046875 | Current Suffix: Mellon footnote captcha
Iteration: 301 | Loss: -0.23828125 | Current Suffix: Arrows footnote captcha
Iteration: 302 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 303 | Loss: -0.2421875 | Current Suffix: Olsen footnote captcha
Iteration: 304 | Loss: -0.2421875 | Current Suffix: cc footnote captcha
Iteration: 305 | Loss: -0.22265625 | Current Suffix: Slim footnote captcha
Iteration: 306 | Loss: -0.26171875 | Current Suffix: Tad footnote captcha
Iteration: 307 | Loss: -0.20703125 | Current Suffix:ansen footnote captcha
Iteration: 308 | Loss: -0.2734375 | Current Suffix:ange footnote captcha
Iteration: 309 | Loss: -0.2421875 | Current Suffix:planes footnote captcha
Iteration: 310 | Loss: -0.34375 | Current Suffix:Animation footnote captcha
Iteration: 311 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 312 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 313 | Loss: -0.2265625 | Current Suffix: printer footnote captcha
Iteration: 314 | Loss: -0.2734375 | Current Suffix: Ports footnote captcha
Iteration: 315 | Loss: -0.265625 | Current Suffix:ect footnote captcha
Iteration: 316 | Loss: -0.265625 | Current Suffix:iliation footnote captcha
Iteration: 317 | Loss: -0.3515625 | Current Suffix: Publications footnote captcha
Iteration: 318 | Loss: -0.24609375 | Current Suffix:Tro footnote captcha
Iteration: 319 | Loss: -0.28125 | Current Suffix:JP footnote captcha
Iteration: 320 | Loss: -0.25 | Current Suffix: Wald footnote captcha
Iteration: 321 | Loss: -0.25 | Current Suffix: subsection footnote captcha
Iteration: 322 | Loss: -0.27734375 | Current Suffix: Fog footnote captcha
Iteration: 323 | Loss: -0.234375 | Current Suffix:letal footnote captcha
Iteration: 324 | Loss: -0.234375 | Current Suffix: Md footnote captcha
Iteration: 325 | Loss: -0.22265625 | Current Suffix: Pattern footnote captcha
Iteration: 326 | Loss: -0.296875 | Current Suffix: Foley footnote captcha
Iteration: 327 | Loss: -0.26953125 | Current Suffix:isch footnote captcha
Iteration: 328 | Loss: -0.265625 | Current Suffix: Radar footnote captcha
Iteration: 329 | Loss: -0.21875 | Current Suffix:rote footnote captcha
Iteration: 330 | Loss: -0.2421875 | Current Suffix: Trave footnote captcha
Iteration: 331 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 332 | Loss: -0.2265625 | Current Suffix:ingu footnote captcha
Iteration: 333 | Loss: -0.24609375 | Current Suffix:vernment footnote captcha
Iteration: 334 | Loss: -0.3203125 | Current Suffix:rev footnote captcha
Iteration: 335 | Loss: -0.34375 | Current Suffix:ains footnote captcha
Iteration: 336 | Loss: -0.30859375 | Current Suffix: Belg footnote captcha
Iteration: 337 | Loss: -0.2421875 | Current Suffix: ASD footnote captcha
Iteration: 338 | Loss: -0.234375 | Current Suffix: ss footnote captcha
Iteration: 339 | Loss: -0.20703125 | Current Suffix: Ring footnote captcha
Iteration: 340 | Loss: -0.234375 | Current Suffix:Det footnote captcha
Iteration: 341 | Loss: -0.328125 | Current Suffix: Magazine footnote captcha
Iteration: 342 | Loss: -0.2265625 | Current Suffix:ingu footnote captcha
Iteration: 343 | Loss: -0.24609375 | Current Suffix:vernment footnote captcha
Iteration: 344 | Loss: -0.328125 | Current Suffix:Wiki footnote captcha
Iteration: 345 | Loss: -0.24609375 | Current Suffix:Tro footnote captcha
Iteration: 346 | Loss: -0.28125 | Current Suffix:JP footnote captcha
Iteration: 347 | Loss: -0.296875 | Current Suffix: Johnston footnote captcha
Iteration: 348 | Loss: -0.2265625 | Current Suffix:itaire footnote captcha
Iteration: 349 | Loss: -0.2890625 | Current Suffix: Cunningham footnote captcha
Iteration: 350 | Loss: -0.3125 | Current Suffix: fol footnote captcha
Iteration: 351 | Loss: -0.234375 | Current Suffix: Schneider footnote captcha
Iteration: 352 | Loss: -0.2734375 | Current Suffix:iform footnote captcha
Iteration: 353 | Loss: -0.2734375 | Current Suffix: Sting footnote captcha
Iteration: 354 | Loss: -0.3359375 | Current Suffix: Publication footnote captcha
Iteration: 355 | Loss: -0.2421875 | Current Suffix: Chains footnote captcha
Iteration: 356 | Loss: -0.23046875 | Current Suffix: Ord footnote captcha
Iteration: 357 | Loss: -0.234375 | Current Suffix:abet footnote captcha
Iteration: 358 | Loss: -0.20703125 | Current Suffix: Lans footnote captcha
Iteration: 359 | Loss: -0.3125 | Current Suffix: fol footnote captcha
Iteration: 360 | Loss: -0.28515625 | Current Suffix: Romero footnote captcha
Iteration: 361 | Loss: -0.28125 | Current Suffix: Desktop footnote captcha
Iteration: 362 | Loss: -0.2421875 | Current Suffix: Springer footnote captcha
Iteration: 363 | Loss: -0.296875 | Current Suffix: Graves footnote captcha
Iteration: 364 | Loss: -0.26953125 | Current Suffix:acers footnote captcha
Iteration: 365 | Loss: -0.296875 | Current Suffix: Graves footnote captcha
Iteration: 366 | Loss: -0.2265625 | Current Suffix: Template footnote captcha
Iteration: 367 | Loss: -0.21484375 | Current Suffix:azor footnote captcha
Iteration: 368 | Loss: -0.2734375 | Current Suffix: pseud footnote captcha
