Itr: 0 | Loss: -0.03607177734375 | Prefix Loss: 0.03607177734375 | Suffix Loss: -7.152557373046875e-06 | Prefixes:!!That | !! UNESCO
Itr: 18 | Loss: 0.006500244140625 | Prefix Loss: 0.060638427734375 | Suffix Loss: 0.067138671875 | Prefixes:HUDDeliveryDate |  Korean Mineral
Itr: 19 | Loss: 0.044952392578125 | Prefix Loss: 0.00635528564453125 | Suffix Loss: 0.051300048828125 | Prefixes: orientDeliveryDate |  promotional Mineral
Itr: 20 | Loss: 0.00881195068359375 | Prefix Loss: 0.01174163818359375 | Suffix Loss: 0.0205535888671875 | Prefixes: controDeliveryDate |  intellectual Mineral
Itr: 21 | Loss: -0.0146484375 | Prefix Loss: 0.07135009765625 | Suffix Loss: 0.05670166015625 | Prefixes: HasteDeliveryDate | ze Mineral
Itr: 22 | Loss: 0.06298828125 | Prefix Loss: 0.004261016845703125 | Suffix Loss: 0.0672607421875 | Prefixes:885DeliveryDate |  Trouble Mineral
Itr: 23 | Loss: -0.050933837890625 | Prefix Loss: 0.07330322265625 | Suffix Loss: 0.022369384765625 | Prefixes: adrenalineDeliveryDate | ucha Mineral
Itr: 24 | Loss: 0.055999755859375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.06524658203125 | Prefixes:591DeliveryDate | Minor Mineral
Itr: 25 | Loss: -0.020050048828125 | Prefix Loss: 0.04461669921875 | Suffix Loss: 0.024566650390625 | Prefixes: adrenalineDeliveryDate |  deepening Mineral
Itr: 26 | Loss: 0.053802490234375 | Prefix Loss: 0.01047515869140625 | Suffix Loss: 0.06427001953125 | Prefixes:591DeliveryDate |  dragons Mineral
Itr: 27 | Loss: 0.0279998779296875 | Prefix Loss: 0.0089874267578125 | Suffix Loss: 0.0369873046875 | Prefixes: :)DeliveryDate | ibu Mineral
Itr: 28 | Loss: 0.014373779296875 | Prefix Loss: 0.0134429931640625 | Suffix Loss: 0.0278167724609375 | Prefixes: ;)DeliveryDate | Writ Mineral
Itr: 29 | Loss: -0.057586669921875 | Prefix Loss: 0.0836181640625 | Suffix Loss: 0.026031494140625 | Prefixes:({DeliveryDate | Mid Mineral
Itr: 30 | Loss: 0.02459716796875 | Prefix Loss: 0.029998779296875 | Suffix Loss: 0.054595947265625 | Prefixes: ASAPDeliveryDate | Title Mineral
Itr: 31 | Loss: 0.058837890625 | Prefix Loss: 0.005725860595703125 | Suffix Loss: 0.0645751953125 | Prefixes: ASAP Transaction | Title Jiang
Itr: 32 | Loss: -0.01552581787109375 | Prefix Loss: 0.017486572265625 | Suffix Loss: 0.00196075439453125 | Prefixes: ASAP externalToEVA | Title Ragnar
Itr: 33 | Loss: 0.03662109375 | Prefix Loss: 0.0028228759765625 | Suffix Loss: 0.039459228515625 | Prefixes: Entertainment externalToEVA |  Jian Ragnar
Itr: 34 | Loss: 0.036224365234375 | Prefix Loss: 0.005947113037109375 | Suffix Loss: 0.04217529296875 | Prefixes: EntertainmentBegin |  Jian bath
Itr: 35 | Loss: 0.001720428466796875 | Prefix Loss: 0.003566741943359375 | Suffix Loss: 0.00528717041015625 | Prefixes:MinecraftBegin | Flor bath
Itr: 36 | Loss: -0.00518035888671875 | Prefix Loss: 0.00809478759765625 | Suffix Loss: 0.0029125213623046875 | Prefixes:Minecraft endif | Flor salts
Itr: 37 | Loss: -0.0030117034912109375 | Prefix Loss: 0.002777099609375 | Suffix Loss: -0.0002351999282836914 | Prefixes:Forge endif |  weep salts
Itr: 38 | Loss: -0.000152587890625 | Prefix Loss: 0.00467681884765625 | Suffix Loss: 0.00452423095703125 | Prefixes:AAF endif |  exiled salts
Itr: 39 | Loss: -0.004337310791015625 | Prefix Loss: 0.007415771484375 | Suffix Loss: 0.003078460693359375 | Prefixes:AAFEdited |  exiled leve
Itr: 40 | Loss: -0.0045318603515625 | Prefix Loss: 0.0103607177734375 | Suffix Loss: 0.005828857421875 | Prefixes:sbmEdited |  DPRK leve
Itr: 41 | Loss: 0.00748443603515625 | Prefix Loss: 0.01119232177734375 | Suffix Loss: 0.0186767578125 | Prefixes:sbmOrderable |  DPRKiqu
Itr: 42 | Loss: 0.01824951171875 | Prefix Loss: 0.00955963134765625 | Suffix Loss: 0.027801513671875 | Prefixes:sbmrored |  DPRK Ambro
Itr: 43 | Loss: 0.0175628662109375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.0268096923828125 | Prefixes:InstoreAndOnlinerored |  CET Ambro
Itr: 0 | Loss: -0.03607177734375 | Prefix Loss: 0.03607177734375 | Suffix Loss: -7.152557373046875e-06 | Prefixes:!!That | !! UNESCO
Itr: 1 | Loss: -0.03668212890625 | Prefix Loss: 0.0430908203125 | Suffix Loss: 0.00641632080078125 | Prefixes:!!igne | !! MU
Itr: 2 | Loss: -0.006343841552734375 | Prefix Loss: 0.01212310791015625 | Suffix Loss: 0.005779266357421875 | Prefixes:!!elist | !! Gerry
Itr: 3 | Loss: -0.0107269287109375 | Prefix Loss: 0.01410675048828125 | Suffix Loss: 0.003376007080078125 | Prefixes:!!rett | !! Crowley
Itr: 4 | Loss: -0.0136260986328125 | Prefix Loss: 0.014892578125 | Suffix Loss: 0.0012655258178710938 | Prefixes:!!Rod | !! toile
Itr: 5 | Loss: -0.005401611328125 | Prefix Loss: 0.01200103759765625 | Suffix Loss: 0.00659942626953125 | Prefixes:!!nard | !! Vault
Itr: 6 | Loss: -0.01285552978515625 | Prefix Loss: 0.0164337158203125 | Suffix Loss: 0.0035800933837890625 | Prefixes:!!Bride | !! cryst
Itr: 7 | Loss: -0.0198974609375 | Prefix Loss: 0.02301025390625 | Suffix Loss: 0.0031070709228515625 | Prefixes:!!leck | !! Garland
Itr: 8 | Loss: -0.01551055908203125 | Prefix Loss: 0.0200653076171875 | Suffix Loss: 0.00455474853515625 | Prefixes: EntityItemleck | AIR Garland
Itr: 9 | Loss: 0.01325225830078125 | Prefix Loss: 0.0032558441162109375 | Suffix Loss: 0.016510009765625 | Prefixes: EntityItem Cruiser | AIR Frieza
Itr: 10 | Loss: -0.2021484375 | Prefix Loss: 0.207275390625 | Suffix Loss: 0.00506591796875 | Prefixes: EntityItemDeliveryDate | AIR Mineral
Itr: 11 | Loss: 0.1258544921875 | Prefix Loss: 0.023529052734375 | Suffix Loss: 0.1494140625 | Prefixes:630DeliveryDate | Legend Mineral
Itr: 12 | Loss: 0.03155517578125 | Prefix Loss: 0.00995635986328125 | Suffix Loss: 0.04150390625 | Prefixes:MRDeliveryDate | Dialogue Mineral
Itr: 13 | Loss: 0.0239715576171875 | Prefix Loss: 0.0068817138671875 | Suffix Loss: 0.030853271484375 | Prefixes: CTRDeliveryDate | TIT Mineral
Itr: 14 | Loss: 0.0032958984375 | Prefix Loss: 0.017547607421875 | Suffix Loss: 0.020843505859375 | Prefixes:MRDeliveryDate | Ta Mineral
Itr: 15 | Loss: 0.0093841552734375 | Prefix Loss: 0.0149688720703125 | Suffix Loss: 0.02435302734375 | Prefixes:MRDeliveryDate | Brit Mineral
Itr: 16 | Loss: 0.0227813720703125 | Prefix Loss: 0.0110321044921875 | Suffix Loss: 0.0338134765625 | Prefixes: MRDeliveryDate | Event Mineral
Itr: 17 | Loss: -0.01531982421875 | Prefix Loss: 0.05377197265625 | Suffix Loss: 0.0384521484375 | Prefixes:HUDDeliveryDate |  Reloaded Mineral
Itr: 18 | Loss: 0.006500244140625 | Prefix Loss: 0.060638427734375 | Suffix Loss: 0.067138671875 | Prefixes:HUDDeliveryDate |  Korean Mineral
Itr: 19 | Loss: 0.044952392578125 | Prefix Loss: 0.00635528564453125 | Suffix Loss: 0.051300048828125 | Prefixes: orientDeliveryDate |  promotional Mineral
Itr: 20 | Loss: 0.00881195068359375 | Prefix Loss: 0.01174163818359375 | Suffix Loss: 0.0205535888671875 | Prefixes: controDeliveryDate |  intellectual Mineral
Itr: 21 | Loss: -0.0146484375 | Prefix Loss: 0.07135009765625 | Suffix Loss: 0.05670166015625 | Prefixes: HasteDeliveryDate | ze Mineral
Itr: 22 | Loss: 0.06298828125 | Prefix Loss: 0.004261016845703125 | Suffix Loss: 0.0672607421875 | Prefixes:885DeliveryDate |  Trouble Mineral
Itr: 23 | Loss: -0.050933837890625 | Prefix Loss: 0.07330322265625 | Suffix Loss: 0.022369384765625 | Prefixes: adrenalineDeliveryDate | ucha Mineral
Itr: 24 | Loss: 0.055999755859375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.06524658203125 | Prefixes:591DeliveryDate | Minor Mineral
Itr: 25 | Loss: -0.020050048828125 | Prefix Loss: 0.04461669921875 | Suffix Loss: 0.024566650390625 | Prefixes: adrenalineDeliveryDate |  deepening Mineral
Itr: 26 | Loss: 0.053802490234375 | Prefix Loss: 0.01047515869140625 | Suffix Loss: 0.06427001953125 | Prefixes:591DeliveryDate |  dragons Mineral
Itr: 27 | Loss: 0.0279998779296875 | Prefix Loss: 0.0089874267578125 | Suffix Loss: 0.0369873046875 | Prefixes: :)DeliveryDate | ibu Mineral
Itr: 28 | Loss: 0.014373779296875 | Prefix Loss: 0.0134429931640625 | Suffix Loss: 0.0278167724609375 | Prefixes: ;)DeliveryDate | Writ Mineral
Itr: 29 | Loss: -0.057586669921875 | Prefix Loss: 0.0836181640625 | Suffix Loss: 0.026031494140625 | Prefixes:({DeliveryDate | Mid Mineral
Itr: 30 | Loss: 0.02459716796875 | Prefix Loss: 0.029998779296875 | Suffix Loss: 0.054595947265625 | Prefixes: ASAPDeliveryDate | Title Mineral
Itr: 31 | Loss: 0.058837890625 | Prefix Loss: 0.005725860595703125 | Suffix Loss: 0.0645751953125 | Prefixes: ASAP Transaction | Title Jiang
Itr: 32 | Loss: -0.01552581787109375 | Prefix Loss: 0.017486572265625 | Suffix Loss: 0.00196075439453125 | Prefixes: ASAP externalToEVA | Title Ragnar
Itr: 33 | Loss: 0.03662109375 | Prefix Loss: 0.0028228759765625 | Suffix Loss: 0.039459228515625 | Prefixes: Entertainment externalToEVA |  Jian Ragnar
Itr: 34 | Loss: 0.036224365234375 | Prefix Loss: 0.005947113037109375 | Suffix Loss: 0.04217529296875 | Prefixes: EntertainmentBegin |  Jian bath
Itr: 35 | Loss: 0.001720428466796875 | Prefix Loss: 0.003566741943359375 | Suffix Loss: 0.00528717041015625 | Prefixes:MinecraftBegin | Flor bath
Itr: 36 | Loss: -0.00518035888671875 | Prefix Loss: 0.00809478759765625 | Suffix Loss: 0.0029125213623046875 | Prefixes:Minecraft endif | Flor salts
Itr: 37 | Loss: -0.0030117034912109375 | Prefix Loss: 0.002777099609375 | Suffix Loss: -0.0002351999282836914 | Prefixes:Forge endif |  weep salts
Itr: 38 | Loss: -0.000152587890625 | Prefix Loss: 0.00467681884765625 | Suffix Loss: 0.00452423095703125 | Prefixes:AAF endif |  exiled salts
Itr: 39 | Loss: -0.004337310791015625 | Prefix Loss: 0.007415771484375 | Suffix Loss: 0.003078460693359375 | Prefixes:AAFEdited |  exiled leve
Itr: 40 | Loss: -0.0045318603515625 | Prefix Loss: 0.0103607177734375 | Suffix Loss: 0.005828857421875 | Prefixes:sbmEdited |  DPRK leve
Itr: 41 | Loss: 0.00748443603515625 | Prefix Loss: 0.01119232177734375 | Suffix Loss: 0.0186767578125 | Prefixes:sbmOrderable |  DPRKiqu
Itr: 42 | Loss: 0.01824951171875 | Prefix Loss: 0.00955963134765625 | Suffix Loss: 0.027801513671875 | Prefixes:sbmrored |  DPRK Ambro
Itr: 43 | Loss: 0.0175628662109375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.0268096923828125 | Prefixes:InstoreAndOnlinerored |  CET Ambro
Itr: 0 | Loss: -0.03607177734375 | Prefix Loss: 0.03607177734375 | Suffix Loss: -7.152557373046875e-06 | Prefixes:!!That | !! UNESCO
Itr: 1 | Loss: -0.03668212890625 | Prefix Loss: 0.0430908203125 | Suffix Loss: 0.00641632080078125 | Prefixes:!!igne | !! MU
Itr: 2 | Loss: -0.006343841552734375 | Prefix Loss: 0.01212310791015625 | Suffix Loss: 0.005779266357421875 | Prefixes:!!elist | !! Gerry
Itr: 3 | Loss: -0.0107269287109375 | Prefix Loss: 0.01410675048828125 | Suffix Loss: 0.003376007080078125 | Prefixes:!!rett | !! Crowley
Itr: 4 | Loss: -0.0136260986328125 | Prefix Loss: 0.014892578125 | Suffix Loss: 0.0012655258178710938 | Prefixes:!!Rod | !! toile
Itr: 5 | Loss: -0.005401611328125 | Prefix Loss: 0.01200103759765625 | Suffix Loss: 0.00659942626953125 | Prefixes:!!nard | !! Vault
Itr: 6 | Loss: -0.01285552978515625 | Prefix Loss: 0.0164337158203125 | Suffix Loss: 0.0035800933837890625 | Prefixes:!!Bride | !! cryst
Itr: 7 | Loss: -0.0198974609375 | Prefix Loss: 0.02301025390625 | Suffix Loss: 0.0031070709228515625 | Prefixes:!!leck | !! Garland
Itr: 8 | Loss: -0.01551055908203125 | Prefix Loss: 0.0200653076171875 | Suffix Loss: 0.00455474853515625 | Prefixes: EntityItemleck | AIR Garland
Itr: 9 | Loss: 0.01325225830078125 | Prefix Loss: 0.0032558441162109375 | Suffix Loss: 0.016510009765625 | Prefixes: EntityItem Cruiser | AIR Frieza
Itr: 10 | Loss: -0.2021484375 | Prefix Loss: 0.207275390625 | Suffix Loss: 0.00506591796875 | Prefixes: EntityItemDeliveryDate | AIR Mineral
Itr: 11 | Loss: 0.1258544921875 | Prefix Loss: 0.023529052734375 | Suffix Loss: 0.1494140625 | Prefixes:630DeliveryDate | Legend Mineral
Itr: 12 | Loss: 0.03155517578125 | Prefix Loss: 0.00995635986328125 | Suffix Loss: 0.04150390625 | Prefixes:MRDeliveryDate | Dialogue Mineral
Itr: 13 | Loss: 0.0239715576171875 | Prefix Loss: 0.0068817138671875 | Suffix Loss: 0.030853271484375 | Prefixes: CTRDeliveryDate | TIT Mineral
Itr: 14 | Loss: 0.0032958984375 | Prefix Loss: 0.017547607421875 | Suffix Loss: 0.020843505859375 | Prefixes:MRDeliveryDate | Ta Mineral
Itr: 15 | Loss: 0.0093841552734375 | Prefix Loss: 0.0149688720703125 | Suffix Loss: 0.02435302734375 | Prefixes:MRDeliveryDate | Brit Mineral
Itr: 16 | Loss: 0.0227813720703125 | Prefix Loss: 0.0110321044921875 | Suffix Loss: 0.0338134765625 | Prefixes: MRDeliveryDate | Event Mineral
Itr: 17 | Loss: -0.01531982421875 | Prefix Loss: 0.05377197265625 | Suffix Loss: 0.0384521484375 | Prefixes:HUDDeliveryDate |  Reloaded Mineral
Itr: 18 | Loss: 0.006500244140625 | Prefix Loss: 0.060638427734375 | Suffix Loss: 0.067138671875 | Prefixes:HUDDeliveryDate |  Korean Mineral
Itr: 19 | Loss: 0.044952392578125 | Prefix Loss: 0.00635528564453125 | Suffix Loss: 0.051300048828125 | Prefixes: orientDeliveryDate |  promotional Mineral
Itr: 20 | Loss: 0.00881195068359375 | Prefix Loss: 0.01174163818359375 | Suffix Loss: 0.0205535888671875 | Prefixes: controDeliveryDate |  intellectual Mineral
Itr: 21 | Loss: -0.0146484375 | Prefix Loss: 0.07135009765625 | Suffix Loss: 0.05670166015625 | Prefixes: HasteDeliveryDate | ze Mineral
Itr: 22 | Loss: 0.06298828125 | Prefix Loss: 0.004261016845703125 | Suffix Loss: 0.0672607421875 | Prefixes:885DeliveryDate |  Trouble Mineral
Itr: 23 | Loss: -0.050933837890625 | Prefix Loss: 0.07330322265625 | Suffix Loss: 0.022369384765625 | Prefixes: adrenalineDeliveryDate | ucha Mineral
Itr: 24 | Loss: 0.055999755859375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.06524658203125 | Prefixes:591DeliveryDate | Minor Mineral
Itr: 25 | Loss: -0.020050048828125 | Prefix Loss: 0.04461669921875 | Suffix Loss: 0.024566650390625 | Prefixes: adrenalineDeliveryDate |  deepening Mineral
Itr: 26 | Loss: 0.053802490234375 | Prefix Loss: 0.01047515869140625 | Suffix Loss: 0.06427001953125 | Prefixes:591DeliveryDate |  dragons Mineral
Itr: 27 | Loss: 0.0279998779296875 | Prefix Loss: 0.0089874267578125 | Suffix Loss: 0.0369873046875 | Prefixes: :)DeliveryDate | ibu Mineral
Itr: 28 | Loss: 0.014373779296875 | Prefix Loss: 0.0134429931640625 | Suffix Loss: 0.0278167724609375 | Prefixes: ;)DeliveryDate | Writ Mineral
Itr: 29 | Loss: -0.057586669921875 | Prefix Loss: 0.0836181640625 | Suffix Loss: 0.026031494140625 | Prefixes:({DeliveryDate | Mid Mineral
Itr: 30 | Loss: 0.02459716796875 | Prefix Loss: 0.029998779296875 | Suffix Loss: 0.054595947265625 | Prefixes: ASAPDeliveryDate | Title Mineral
Itr: 31 | Loss: 0.058837890625 | Prefix Loss: 0.005725860595703125 | Suffix Loss: 0.0645751953125 | Prefixes: ASAP Transaction | Title Jiang
Itr: 32 | Loss: -0.01552581787109375 | Prefix Loss: 0.017486572265625 | Suffix Loss: 0.00196075439453125 | Prefixes: ASAP externalToEVA | Title Ragnar
Itr: 33 | Loss: 0.03662109375 | Prefix Loss: 0.0028228759765625 | Suffix Loss: 0.039459228515625 | Prefixes: Entertainment externalToEVA |  Jian Ragnar
Itr: 34 | Loss: 0.036224365234375 | Prefix Loss: 0.005947113037109375 | Suffix Loss: 0.04217529296875 | Prefixes: EntertainmentBegin |  Jian bath
Itr: 35 | Loss: 0.001720428466796875 | Prefix Loss: 0.003566741943359375 | Suffix Loss: 0.00528717041015625 | Prefixes:MinecraftBegin | Flor bath
Itr: 36 | Loss: -0.00518035888671875 | Prefix Loss: 0.00809478759765625 | Suffix Loss: 0.0029125213623046875 | Prefixes:Minecraft endif | Flor salts
Itr: 37 | Loss: -0.0030117034912109375 | Prefix Loss: 0.002777099609375 | Suffix Loss: -0.0002351999282836914 | Prefixes:Forge endif |  weep salts
Itr: 38 | Loss: -0.000152587890625 | Prefix Loss: 0.00467681884765625 | Suffix Loss: 0.00452423095703125 | Prefixes:AAF endif |  exiled salts
Itr: 39 | Loss: -0.004337310791015625 | Prefix Loss: 0.007415771484375 | Suffix Loss: 0.003078460693359375 | Prefixes:AAFEdited |  exiled leve
Itr: 40 | Loss: -0.0045318603515625 | Prefix Loss: 0.0103607177734375 | Suffix Loss: 0.005828857421875 | Prefixes:sbmEdited |  DPRK leve
Itr: 41 | Loss: 0.00748443603515625 | Prefix Loss: 0.01119232177734375 | Suffix Loss: 0.0186767578125 | Prefixes:sbmOrderable |  DPRKiqu
Itr: 42 | Loss: 0.01824951171875 | Prefix Loss: 0.00955963134765625 | Suffix Loss: 0.027801513671875 | Prefixes:sbmrored |  DPRK Ambro
Itr: 43 | Loss: 0.0175628662109375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.0268096923828125 | Prefixes:InstoreAndOnlinerored |  CET Ambro
Itr: 0 | Loss: -0.03607177734375 | Prefix Loss: 0.03607177734375 | Suffix Loss: -7.152557373046875e-06 | Prefixes:!!That | !! UNESCO
Itr: 1 | Loss: -0.03668212890625 | Prefix Loss: 0.0430908203125 | Suffix Loss: 0.00641632080078125 | Prefixes:!!igne | !! MU
Itr: 2 | Loss: -0.006343841552734375 | Prefix Loss: 0.01212310791015625 | Suffix Loss: 0.005779266357421875 | Prefixes:!!elist | !! Gerry
Itr: 3 | Loss: -0.0107269287109375 | Prefix Loss: 0.01410675048828125 | Suffix Loss: 0.003376007080078125 | Prefixes:!!rett | !! Crowley
Itr: 4 | Loss: -0.0136260986328125 | Prefix Loss: 0.014892578125 | Suffix Loss: 0.0012655258178710938 | Prefixes:!!Rod | !! toile
Itr: 5 | Loss: -0.005401611328125 | Prefix Loss: 0.01200103759765625 | Suffix Loss: 0.00659942626953125 | Prefixes:!!nard | !! Vault
Itr: 6 | Loss: -0.01285552978515625 | Prefix Loss: 0.0164337158203125 | Suffix Loss: 0.0035800933837890625 | Prefixes:!!Bride | !! cryst
Itr: 7 | Loss: -0.0198974609375 | Prefix Loss: 0.02301025390625 | Suffix Loss: 0.0031070709228515625 | Prefixes:!!leck | !! Garland
Itr: 8 | Loss: -0.01551055908203125 | Prefix Loss: 0.0200653076171875 | Suffix Loss: 0.00455474853515625 | Prefixes: EntityItemleck | AIR Garland
Itr: 9 | Loss: 0.01325225830078125 | Prefix Loss: 0.0032558441162109375 | Suffix Loss: 0.016510009765625 | Prefixes: EntityItem Cruiser | AIR Frieza
Itr: 10 | Loss: -0.2021484375 | Prefix Loss: 0.207275390625 | Suffix Loss: 0.00506591796875 | Prefixes: EntityItemDeliveryDate | AIR Mineral
Itr: 11 | Loss: 0.1258544921875 | Prefix Loss: 0.023529052734375 | Suffix Loss: 0.1494140625 | Prefixes:630DeliveryDate | Legend Mineral
Itr: 12 | Loss: 0.03155517578125 | Prefix Loss: 0.00995635986328125 | Suffix Loss: 0.04150390625 | Prefixes:MRDeliveryDate | Dialogue Mineral
Itr: 13 | Loss: 0.0239715576171875 | Prefix Loss: 0.0068817138671875 | Suffix Loss: 0.030853271484375 | Prefixes: CTRDeliveryDate | TIT Mineral
Itr: 14 | Loss: 0.0032958984375 | Prefix Loss: 0.017547607421875 | Suffix Loss: 0.020843505859375 | Prefixes:MRDeliveryDate | Ta Mineral
Itr: 15 | Loss: 0.0093841552734375 | Prefix Loss: 0.0149688720703125 | Suffix Loss: 0.02435302734375 | Prefixes:MRDeliveryDate | Brit Mineral
Itr: 16 | Loss: 0.0227813720703125 | Prefix Loss: 0.0110321044921875 | Suffix Loss: 0.0338134765625 | Prefixes: MRDeliveryDate | Event Mineral
Itr: 17 | Loss: -0.01531982421875 | Prefix Loss: 0.05377197265625 | Suffix Loss: 0.0384521484375 | Prefixes:HUDDeliveryDate |  Reloaded Mineral
Itr: 18 | Loss: 0.006500244140625 | Prefix Loss: 0.060638427734375 | Suffix Loss: 0.067138671875 | Prefixes:HUDDeliveryDate |  Korean Mineral
Itr: 19 | Loss: 0.044952392578125 | Prefix Loss: 0.00635528564453125 | Suffix Loss: 0.051300048828125 | Prefixes: orientDeliveryDate |  promotional Mineral
Itr: 20 | Loss: 0.00881195068359375 | Prefix Loss: 0.01174163818359375 | Suffix Loss: 0.0205535888671875 | Prefixes: controDeliveryDate |  intellectual Mineral
Itr: 21 | Loss: -0.0146484375 | Prefix Loss: 0.07135009765625 | Suffix Loss: 0.05670166015625 | Prefixes: HasteDeliveryDate | ze Mineral
Itr: 22 | Loss: 0.06298828125 | Prefix Loss: 0.004261016845703125 | Suffix Loss: 0.0672607421875 | Prefixes:885DeliveryDate |  Trouble Mineral
Itr: 23 | Loss: -0.050933837890625 | Prefix Loss: 0.07330322265625 | Suffix Loss: 0.022369384765625 | Prefixes: adrenalineDeliveryDate | ucha Mineral
Itr: 24 | Loss: 0.055999755859375 | Prefix Loss: 0.009246826171875 | Suffix Loss: 0.06524658203125 | Prefixes:591DeliveryDate | Minor Mineral
Itr: 25 | Loss: -0.020050048828125 | Prefix Loss: 0.04461669921875 | Suffix Loss: 0.024566650390625 | Prefixes: adrenalineDeliveryDate |  deepening Mineral
Itr: 26 | Loss: 0.053802490234375 | Prefix Loss: 0.01047515869140625 | Suffix Loss: 0.06427001953125 | Prefixes:591DeliveryDate |  dragons Mineral
Itr: 27 | Loss: 0.0279998779296875 | Prefix Loss: 0.0089874267578125 | Suffix Loss: 0.0369873046875 | Prefixes: :)DeliveryDate | ibu Mineral
Itr: 28 | Loss: 0.014373779296875 | Prefix Loss: 0.0134429931640625 | Suffix Loss: 0.0278167724609375 | Prefixes: ;)DeliveryDate | Writ Mineral
Itr: 29 | Loss: -0.057586669921875 | Prefix Loss: 0.0836181640625 | Suffix Loss: 0.026031494140625 | Prefixes:({DeliveryDate | Mid Mineral
Itr: 30 | Loss: 0.02459716796875 | Prefix Loss: 0.029998779296875 | Suffix Loss: 0.054595947265625 | Prefixes: ASAPDeliveryDate | Title Mineral
Itr: 31 | Loss: 0.058837890625 | Prefix Loss: 0.005725860595703125 | Suffix Loss: 0.0645751953125 | Prefixes: ASAP Transaction | Title Jiang
Itr: 32 | Loss: -0.01552581787109375 | Prefix Loss: 0.017486572265625 | Suffix Loss: 0.00196075439453125 | Prefixes: ASAP externalToEVA | Title Ragnar
Itr: 33 | Loss: 0.03662109375 | Prefix Loss: 0.0028228759765625 | Suffix Loss: 0.039459228515625 | Prefixes: Entertainment externalToEVA |  Jian Ragnar
Itr: 34 | Loss: 0.036224365234375 | Prefix Loss: 0.005947113037109375 | Suffix Loss: 0.04217529296875 | Prefixes: EntertainmentBegin |  Jian bath
Itr: 35 | Loss: 0.001720428466796875 | Prefix Loss: 0.003566741943359375 | Suffix Loss: 0.00528717041015625 | Prefixes:MinecraftBegin | Flor bath
Itr: 36 | Loss: -0.00518035888671875 | Prefix Loss: 0.00809478759765625 | Suffix Loss: 0.0029125213623046875 | Prefixes:Minecraft endif | Flor salts
