Iteration: 0 | Loss: -0.0859375 | Current Suffix:!!!!!!!!Fi!!
Iteration: 7 | Loss: -0.171875 | Current Suffix: AMA Naruto Region
Iteration: 8 | Loss: -0.171875 | Current Suffix: SCP Naruto Region
Iteration: 9 | Loss: -0.171875 | Current Suffix: FY Naruto Region
Iteration: 10 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 11 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 12 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 13 | Loss: -0.203125 | Current Suffix: FY Naruto Hide
Iteration: 14 | Loss: -0.19921875 | Current Suffix: newsp Naruto Hide
Iteration: 15 | Loss: -0.20703125 | Current Suffix: Beirut Naruto Hide
Iteration: 16 | Loss: -0.19921875 | Current Suffix: morphine Naruto Hide
Iteration: 17 | Loss: -0.2109375 | Current Suffix: morphine Naruto Must
Iteration: 18 | Loss: -0.2421875 | Current Suffix:BU Naruto Must
Iteration: 19 | Loss: -0.25 | Current Suffix: Dota Naruto Must
Iteration: 20 | Loss: -0.34375 | Current Suffix: FTA Naruto Must
Iteration: 21 | Loss: -0.23046875 | Current Suffix: Terr Naruto Must
Iteration: 22 | Loss: -0.2578125 | Current Suffix: SQ Naruto Must
Iteration: 23 | Loss: -0.2421875 | Current Suffix: XCOM Naruto Must
Iteration: 24 | Loss: -0.2421875 | Current Suffix:BU Naruto Must
Iteration: 25 | Loss: -0.25 | Current Suffix: Dota Naruto Must
Iteration: 26 | Loss: -0.34375 | Current Suffix: FTA Naruto Must
Iteration: 27 | Loss: -0.265625 | Current Suffix:Corp Naruto Must
Iteration: 28 | Loss: -0.2265625 | Current Suffix: scanners Naruto Must
Iteration: 29 | Loss: -0.3203125 | Current Suffix: Bucs Naruto Must
Iteration: 30 | Loss: -0.265625 | Current Suffix: Fighters Naruto Must
Iteration: 31 | Loss: -0.28125 | Current Suffix:elaide Naruto Must
Iteration: 32 | Loss: -0.21875 | Current Suffix: tavern Naruto Must
Iteration: 33 | Loss: -0.234375 | Current Suffix:skirts Naruto Must
Iteration: 34 | Loss: -0.23046875 | Current Suffix: rooftop Naruto Must
Iteration: 35 | Loss: -0.2578125 | Current Suffix: Commando Naruto Must
Iteration: 36 | Loss: -0.234375 | Current Suffix: render Naruto Must
Iteration: 37 | Loss: -0.2578125 | Current Suffix: SOS Naruto Must
Iteration: 38 | Loss: -0.2109375 | Current Suffix: Spartan Naruto Must
Iteration: 39 | Loss: -0.23828125 | Current Suffix: tunnel Naruto Must
Iteration: 40 | Loss: -0.21875 | Current Suffix: Manor Naruto Must
Iteration: 41 | Loss: -0.265625 | Current Suffix: disturbance Naruto Must
Iteration: 42 | Loss: -0.16796875 | Current Suffix: adjourn Naruto Must
Iteration: 43 | Loss: -0.28125 | Current Suffix: Admir Naruto Must
Iteration: 44 | Loss: -0.24609375 | Current Suffix: PARK Naruto Must
Iteration: 45 | Loss: -0.2578125 | Current Suffix: SQ Naruto Must
Iteration: 46 | Loss: -0.2578125 | Current Suffix: Runner Naruto Must
Iteration: 47 | Loss: -0.296875 | Current Suffix:ikers Naruto Must
Iteration: 48 | Loss: -0.22265625 | Current Suffix: Ost Naruto Must
Iteration: 49 | Loss: -0.2734375 | Current Suffix: Rugby Naruto Must
Iteration: 50 | Loss: -0.3515625 | Current Suffix: The Naruto Must
Iteration: 51 | Loss: -0.28125 | Current Suffix: PHI Naruto Must
Iteration: 52 | Loss: -0.24609375 | Current Suffix: DU Naruto Must
Iteration: 53 | Loss: -0.25 | Current Suffix: kilometres Naruto Must
Iteration: 54 | Loss: -0.2578125 | Current Suffix: whilst Naruto Must
Iteration: 55 | Loss: -0.23046875 | Current Suffix: ponies Naruto Must
Iteration: 56 | Loss: -0.234375 | Current Suffix: BRA Naruto Must
Iteration: 57 | Loss: -0.2734375 | Current Suffix: mercenaries Naruto Must
Iteration: 58 | Loss: -0.23046875 | Current Suffix: Bangalore Naruto Must
Iteration: 59 | Loss: -0.22265625 | Current Suffix: Legends Naruto Must
Iteration: 60 | Loss: -0.28125 | Current Suffix: PHI Naruto Must
Iteration: 61 | Loss: -0.23046875 | Current Suffix: bounty Naruto Must
Iteration: 62 | Loss: -0.265625 | Current Suffix:API Naruto Must
Iteration: 63 | Loss: -0.22265625 | Current Suffix: Ost Naruto Must
Iteration: 64 | Loss: -0.2734375 | Current Suffix: Slovenia Naruto Must
Iteration: 65 | Loss: -0.2421875 | Current Suffix: the Naruto Must
Iteration: 66 | Loss: -0.2421875 | Current Suffix: XCOM Naruto Must
Iteration: 67 | Loss: -0.25 | Current Suffix: Vienna Naruto Must
Iteration: 68 | Loss: -0.23046875 | Current Suffix: ponies Naruto Must
Iteration: 69 | Loss: -0.21484375 | Current Suffix: Bohem Naruto Must
Iteration: 70 | Loss: -0.25 | Current Suffix:fighters Naruto Must
Iteration: 71 | Loss: -0.1953125 | Current Suffix:anse Naruto Must
Iteration: 72 | Loss: -0.24609375 | Current Suffix:GA Naruto Must
Iteration: 73 | Loss: -0.2421875 | Current Suffix: dracon Naruto Must
Iteration: 74 | Loss: -0.203125 | Current Suffix: Cancer Naruto Must
Iteration: 75 | Loss: -0.296875 | Current Suffix:CA Naruto Must
Iteration: 76 | Loss: -0.2265625 | Current Suffix: spotting Naruto Must
Iteration: 77 | Loss: -0.28125 | Current Suffix: Scots Naruto Must
Iteration: 78 | Loss: -0.25 | Current Suffix: Arkham Naruto Must
Iteration: 79 | Loss: -0.25 | Current Suffix: Delhi Naruto Must
Iteration: 80 | Loss: -0.2734375 | Current Suffix: Waterloo Naruto Must
Iteration: 81 | Loss: -0.2421875 | Current Suffix:eers Naruto Must
Iteration: 82 | Loss: -0.2890625 | Current Suffix: Monaco Naruto Must
Iteration: 83 | Loss: -0.2421875 | Current Suffix: dracon Naruto Must
Iteration: 84 | Loss: -0.2109375 | Current Suffix:thus Naruto Must
Iteration: 85 | Loss: -0.2734375 | Current Suffix: Highlands Naruto Must
Iteration: 86 | Loss: -0.2578125 | Current Suffix:sports Naruto Must
Iteration: 87 | Loss: -0.2734375 | Current Suffix: Bosnia Naruto Must
Iteration: 88 | Loss: -0.2421875 | Current Suffix: the Naruto Must
Iteration: 89 | Loss: -0.2421875 | Current Suffix: XCOM Naruto Must
Iteration: 90 | Loss: -0.2890625 | Current Suffix: Monaco Naruto Must
Iteration: 91 | Loss: -0.28125 | Current Suffix: Yugoslavia Naruto Must
Iteration: 92 | Loss: -0.2890625 | Current Suffix: Monaco Naruto Must
Iteration: 93 | Loss: -0.28125 | Current Suffix: Yugoslavia Naruto Must
Iteration: 94 | Loss: -0.28125 | Current Suffix: Sweden Naruto Must
Iteration: 95 | Loss: -0.23046875 | Current Suffix: war Naruto Must
Iteration: 96 | Loss: -0.23828125 | Current Suffix: warriors Naruto Must
Iteration: 97 | Loss: -0.234375 | Current Suffix:skirts Naruto Must
Iteration: 98 | Loss: -0.23046875 | Current Suffix: rooftop Naruto Must
Iteration: 99 | Loss: -0.2578125 | Current Suffix: Kentucky Naruto Must
Iteration: 100 | Loss: -0.21484375 | Current Suffix: Gors Naruto Must
Iteration: 101 | Loss: -0.25390625 | Current Suffix: Lords Naruto Must
Iteration: 102 | Loss: -0.2734375 | Current Suffix: Rugby Naruto Must
Iteration: 103 | Loss: -0.3125 | Current Suffix: Games Naruto Must
Iteration: 104 | Loss: -0.296875 | Current Suffix: radar Naruto Must
Iteration: 105 | Loss: -0.22265625 | Current Suffix: Warlock Naruto Must
Iteration: 106 | Loss: -0.21484375 | Current Suffix: concussion Naruto Must
Iteration: 107 | Loss: -0.265625 | Current Suffix: Shotgun Naruto Must
Iteration: 108 | Loss: -0.2578125 | Current Suffix: Lisbon Naruto Must
Iteration: 109 | Loss: -0.2578125 | Current Suffix:sports Naruto Must
Iteration: 110 | Loss: -0.2890625 | Current Suffix: Monaco Naruto Must
Iteration: 111 | Loss: -0.28125 | Current Suffix: Yugoslavia Naruto Must
Iteration: 112 | Loss: -0.2890625 | Current Suffix: Monaco Naruto Must
Iteration: 113 | Loss: -0.28125 | Current Suffix: Yugoslavia Naruto Must
Iteration: 114 | Loss: -0.2734375 | Current Suffix: Slovenia Naruto Must
Iteration: 115 | Loss: -0.2421875 | Current Suffix: the Naruto Must
Iteration: 116 | Loss: -0.2421875 | Current Suffix: dracon Naruto Must
Iteration: 117 | Loss: -0.21484375 | Current Suffix: Schwe Naruto Must
Iteration: 118 | Loss: -0.2734375 | Current Suffix: rugby Naruto Must
Iteration: 119 | Loss: -0.2265625 | Current Suffix: Corm Naruto Must
Iteration: 120 | Loss: -0.265625 | Current Suffix: Zone Naruto Must
Iteration: 121 | Loss: -0.28125 | Current Suffix: philanthrop Naruto Must
Iteration: 122 | Loss: -0.203125 | Current Suffix:rals Naruto Must
Iteration: 123 | Loss: -0.2265625 | Current Suffix:urai Naruto Must
Iteration: 124 | Loss: -0.265625 | Current Suffix: Davidson Naruto Must
Iteration: 125 | Loss: -0.22265625 | Current Suffix: Warlock Naruto Must
Iteration: 126 | Loss: -0.23046875 | Current Suffix: ponies Naruto Must
Iteration: 127 | Loss: -0.234375 | Current Suffix: BRA Naruto Must
Iteration: 128 | Loss: -0.23046875 | Current Suffix: bounty Naruto Must
Iteration: 129 | Loss: -0.234375 | Current Suffix: BRA Naruto Must
Iteration: 130 | Loss: -0.22265625 | Current Suffix: adrenaline Naruto Must
Iteration: 0 | Loss: 8.5703125 | Current Suffix:!! Manor
Iteration: 1 | Loss: 7.5078125 | Current Suffix:uminati Manor
Iteration: 2 | Loss: 7.87890625 | Current Suffix:Party Manor
Iteration: 3 | Loss: 7.5078125 | Current Suffix:uminati Manor
Iteration: 4 | Loss: 7.87890625 | Current Suffix:Party Manor
Iteration: 5 | Loss: 8.078125 | Current Suffix:Tile Manor
Iteration: 6 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 7 | Loss: 7.8125 | Current Suffix:Character Manor
Iteration: 8 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 9 | Loss: 7.890625 | Current Suffix:Header Manor
Iteration: 10 | Loss: 7.859375 | Current Suffix:Mask Manor
Iteration: 0 | Loss: 8.5703125 | Current Suffix:!! Manor
Iteration: 1 | Loss: 7.5078125 | Current Suffix:uminati Manor
Iteration: 2 | Loss: 7.87890625 | Current Suffix:Party Manor
Iteration: 3 | Loss: 7.5078125 | Current Suffix:uminati Manor
Iteration: 4 | Loss: 7.87890625 | Current Suffix:Party Manor
Iteration: 5 | Loss: 8.078125 | Current Suffix:Tile Manor
Iteration: 6 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 7 | Loss: 7.8125 | Current Suffix:Character Manor
Iteration: 8 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 9 | Loss: 7.890625 | Current Suffix:Header Manor
Iteration: 10 | Loss: 7.859375 | Current Suffix:Mask Manor
Iteration: 11 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 12 | Loss: 7.8125 | Current Suffix:Character Manor
Iteration: 13 | Loss: 7.8984375 | Current Suffix:Animation Manor
Iteration: 14 | Loss: 7.74609375 | Current Suffix:Flags Manor
Iteration: 15 | Loss: 7.8125 | Current Suffix:Character Manor
Iteration: 16 | Loss: 7.8359375 | Current Suffix:Theme Manor
Iteration: 17 | Loss: 7.4765625 | Current Suffix:Theme Graveyard
Iteration: 18 | Loss: 7.3515625 | Current Suffix:emetery Graveyard
Iteration: 19 | Loss: 7.06640625 | Current Suffix:emetery Statue
Iteration: 20 | Loss: 6.56640625 | Current Suffix:ventus Statue
Iteration: 21 | Loss: 6.625 | Current Suffix:medi Statue
Iteration: 22 | Loss: 6.7890625 | Current Suffix:inav Statue
Iteration: 23 | Loss: 6.00390625 | Current Suffix:Georg Statue
Iteration: 24 | Loss: 6.828125 | Current Suffix:Sov Statue
Iteration: 25 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 26 | Loss: 7.07421875 | Current Suffix:Height Statue
Iteration: 27 | Loss: 6.8359375 | Current Suffix:enegger Statue
Iteration: 28 | Loss: 6.7890625 | Current Suffix:Rus Statue
Iteration: 29 | Loss: 6.7421875 | Current Suffix: Serge Statue
Iteration: 30 | Loss: 6.7890625 | Current Suffix:Rus Statue
Iteration: 31 | Loss: 6.8125 | Current Suffix: Pavel Statue
Iteration: 32 | Loss: 6.00390625 | Current Suffix:Georg Statue
Iteration: 33 | Loss: 6.6953125 | Current Suffix:Neigh Statue
Iteration: 34 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 35 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 36 | Loss: 7.07421875 | Current Suffix:Height Statue
Iteration: 37 | Loss: 6.7734375 | Current Suffix: Rena Statue
Iteration: 38 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 39 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 40 | Loss: 6.8359375 | Current Suffix:ibu Statue
Iteration: 41 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 42 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 43 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 44 | Loss: 6.8515625 | Current Suffix:icho Statue
Iteration: 45 | Loss: 6.90625 | Current Suffix: Mori Statue
Iteration: 46 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 47 | Loss: 6.9921875 | Current Suffix: Choi Statue
Iteration: 48 | Loss: 6.91015625 | Current Suffix:iera Statue
Iteration: 49 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 50 | Loss: 7.0625 | Current Suffix: Kuro Statue
Iteration: 51 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 52 | Loss: 6.9921875 | Current Suffix: Choi Statue
Iteration: 53 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 54 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 55 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 56 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 57 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 58 | Loss: 6.9921875 | Current Suffix: Choi Statue
Iteration: 59 | Loss: 7.09375 | Current Suffix:aho Statue
Iteration: 60 | Loss: 6.64453125 | Current Suffix:ihara Statue
Iteration: 61 | Loss: 7.01953125 | Current Suffix:iru Statue
Iteration: 62 | Loss: 6.80859375 | Current Suffix: Schwar Statue
Iteration: 63 | Loss: 7.0 | Current Suffix:yout Statue
Iteration: 64 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 65 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 66 | Loss: 7.09375 | Current Suffix: Markus Statue
Iteration: 67 | Loss: 6.94921875 | Current Suffix:hesda Statue
Iteration: 68 | Loss: 6.8671875 | Current Suffix:Planet Statue
Iteration: 69 | Loss: 6.94921875 | Current Suffix:hesda Statue
Iteration: 70 | Loss: 7.015625 | Current Suffix:mosp Statue
Iteration: 71 | Loss: 6.94921875 | Current Suffix:hesda Statue
Iteration: 72 | Loss: 6.8671875 | Current Suffix:Planet Statue
Iteration: 73 | Loss: 7.1015625 | Current Suffix: Construction Statue
Iteration: 74 | Loss: 6.8515625 | Current Suffix: Citiz Statue
Iteration: 75 | Loss: 6.828125 | Current Suffix: Hier Statue
Iteration: 76 | Loss: 6.4765625 | Current Suffix:Pres Statue
Iteration: 77 | Loss: 6.6953125 | Current Suffix:Neigh Statue
Iteration: 78 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 79 | Loss: 6.65625 | Current Suffix:Bel Statue
Iteration: 80 | Loss: 6.6640625 | Current Suffix: Bohem Statue
Iteration: 81 | Loss: 6.9140625 | Current Suffix:orld Statue
Iteration: 82 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 83 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 84 | Loss: 7.07421875 | Current Suffix:Height Statue
Iteration: 85 | Loss: 6.7734375 | Current Suffix: Rena Statue
Iteration: 86 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 87 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 88 | Loss: 6.8359375 | Current Suffix:ibu Statue
Iteration: 89 | Loss: 6.9921875 | Current Suffix: Nich Statue
Iteration: 90 | Loss: 6.91015625 | Current Suffix:Da Statue
Iteration: 91 | Loss: 6.50390625 | Current Suffix:ijk Statue
Iteration: 92 | Loss: 6.77734375 | Current Suffix:las Statue
Iteration: 93 | Loss: 6.6875 | Current Suffix: Klaus Statue
Iteration: 94 | Loss: 6.984375 | Current Suffix:mas Statue
Iteration: 95 | Loss: 6.828125 | Current Suffix: Hier Statue
Iteration: 96 | Loss: 6.4765625 | Current Suffix:Pres Statue
Iteration: 97 | Loss: 6.6953125 | Current Suffix:Neigh Statue
Iteration: 98 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 99 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 100 | Loss: 7.09375 | Current Suffix: Markus Statue
Iteration: 101 | Loss: 6.94921875 | Current Suffix:hesda Statue
Iteration: 102 | Loss: 6.8671875 | Current Suffix:Planet Statue
Iteration: 103 | Loss: 6.9375 | Current Suffix:Work Statue
Iteration: 104 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 105 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 106 | Loss: 7.07421875 | Current Suffix:Height Statue
Iteration: 107 | Loss: 6.7734375 | Current Suffix: Rena Statue
Iteration: 108 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 109 | Loss: 7.0625 | Current Suffix: Kuro Statue
Iteration: 110 | Loss: 7.16015625 | Current Suffix: Blockchain Statue
Iteration: 111 | Loss: 6.77734375 | Current Suffix: Casino Statue
Iteration: 112 | Loss: 6.8359375 | Current Suffix: Paran Statue
Iteration: 113 | Loss: 6.125 | Current Suffix:Moh Statue
Iteration: 114 | Loss: 6.6484375 | Current Suffix: mathemat Statue
Iteration: 115 | Loss: 6.80078125 | Current Suffix: Municip Statue
Iteration: 116 | Loss: 6.6484375 | Current Suffix: mathemat Statue
Iteration: 117 | Loss: 6.80078125 | Current Suffix: Municip Statue
Iteration: 118 | Loss: 6.5703125 | Current Suffix:artney Statue
Iteration: 119 | Loss: 6.625 | Current Suffix:medi Statue
Iteration: 120 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 121 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 122 | Loss: 7.09375 | Current Suffix: Markus Statue
Iteration: 123 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 124 | Loss: 6.8515625 | Current Suffix:icho Statue
Iteration: 125 | Loss: 6.90625 | Current Suffix: Mori Statue
Iteration: 126 | Loss: 6.7734375 | Current Suffix:Sa Statue
Iteration: 127 | Loss: 6.7421875 | Current Suffix:Se Statue
Iteration: 128 | Loss: 6.64453125 | Current Suffix:ihara Statue
Iteration: 129 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 130 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 131 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 132 | Loss: 6.8359375 | Current Suffix:ibu Statue
Iteration: 133 | Loss: 6.9765625 | Current Suffix: Akira Statue
Iteration: 134 | Loss: 6.6796875 | Current Suffix:isu Statue
Iteration: 135 | Loss: 6.9921875 | Current Suffix: Choi Statue
Iteration: 136 | Loss: 6.7421875 | Current Suffix: Hoo Statue
Iteration: 137 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 138 | Loss: 6.65625 | Current Suffix:Bel Statue
Iteration: 139 | Loss: 6.7890625 | Current Suffix:Rus Statue
Iteration: 140 | Loss: 6.609375 | Current Suffix: Nikol Statue
Iteration: 141 | Loss: 7.0 | Current Suffix:yout Statue
Iteration: 142 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 143 | Loss: 6.65625 | Current Suffix:Bel Statue
Iteration: 144 | Loss: 6.6640625 | Current Suffix: Bohem Statue
Iteration: 145 | Loss: 6.9140625 | Current Suffix:orld Statue
Iteration: 146 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 147 | Loss: 5.9609375 | Current Suffix:Des Statue
Iteration: 148 | Loss: 7.07421875 | Current Suffix:Height Statue
Iteration: 149 | Loss: 6.8359375 | Current Suffix:jriwal Statue
Iteration: 150 | Loss: 6.671875 | Current Suffix:Maria Statue
Iteration: 151 | Loss: 6.296875 | Current Suffix:Maria monument
Iteration: 152 | Loss: 6.1796875 | Current Suffix:Emer monument
Iteration: 153 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 154 | Loss: 6.25 | Current Suffix:Mis monument
Iteration: 155 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 156 | Loss: 6.1796875 | Current Suffix:Emer monument
Iteration: 157 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 158 | Loss: 6.21484375 | Current Suffix:Fle monument
Iteration: 159 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 160 | Loss: 6.1796875 | Current Suffix:Emer monument
Iteration: 161 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 162 | Loss: 6.21484375 | Current Suffix:Fle monument
Iteration: 163 | Loss: 6.34375 | Current Suffix:Ja monument
Iteration: 164 | Loss: 5.8203125 | Current Suffix:Rober monument
Iteration: 165 | Loss: 6.265625 | Current Suffix:Ble monument
Iteration: 166 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 167 | Loss: 6.2265625 | Current Suffix:Des monument
Iteration: 168 | Loss: 6.125 | Current Suffix:Die monument
Iteration: 169 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 170 | Loss: 6.21484375 | Current Suffix:Fle monument
Iteration: 171 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 172 | Loss: 6.265625 | Current Suffix:Ble monument
Iteration: 173 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 174 | Loss: 6.21484375 | Current Suffix:Fle monument
Iteration: 175 | Loss: 6.34375 | Current Suffix:Ja monument
Iteration: 176 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 177 | Loss: 6.3515625 | Current Suffix:Flo monument
Iteration: 178 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 179 | Loss: 6.3515625 | Current Suffix:Flo monument
Iteration: 180 | Loss: 6.4140625 | Current Suffix:Studio monument
Iteration: 181 | Loss: 6.28515625 | Current Suffix:Johnny monument
Iteration: 182 | Loss: 6.3671875 | Current Suffix:Ey monument
Iteration: 183 | Loss: 5.8203125 | Current Suffix:Rober monument
Iteration: 184 | Loss: 6.265625 | Current Suffix:Ble monument
Iteration: 185 | Loss: 6.5625 | Current Suffix:oreAnd monument
Iteration: 186 | Loss: 6.56640625 | Current Suffix:Tele monument
Iteration: 187 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 188 | Loss: 6.1796875 | Current Suffix:Emer monument
Iteration: 189 | Loss: 6.4140625 | Current Suffix:Studio monument
Iteration: 190 | Loss: 6.578125 | Current Suffix:Dun monument
Iteration: 191 | Loss: 6.4296875 | Current Suffix:Dro monument
Iteration: 192 | Loss: 6.19140625 | Current Suffix:Karl monument
Iteration: 193 | Loss: 6.21484375 | Current Suffix:Fle monument
Iteration: 194 | Loss: 5.84375 | Current Suffix:Aust monument
Iteration: 195 | Loss: 6.1796875 | Current Suffix:Emer monument
